"",BBFB1.Q.N.DE.S3.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.S3.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Near and Middle East countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:33:32,
1991-01,1039.532,
1991-04,1232.679,
1991-07,1756.535,
1991-10,1952.909,
1992-01,1771.695,
1992-04,1580.393,
1992-07,1729.737,
1992-10,1621.887,
1993-01,1652.846,
1993-04,1513.014,
1993-07,1639.171,
1993-10,1849.660,
1994-01,1907.589,
1994-04,2038.795,
1994-07,1733.438,
1994-10,2166.926,
1995-01,1843.391,
1995-04,1557.874,
1995-07,1592.429,
1995-10,1790.225,
1996-01,1755.365,
1996-04,1771.795,
1996-07,1948.795,
1996-10,2109.905,
1997-01,1850.879,
1997-04,2132.593,
1997-07,2194.146,
1997-10,2335.433,
1998-01,2143.697,
1998-04,2129.286,
1998-07,2155.624,
1998-10,2278.544,
1999-01,2288.194,
1999-04,2252.757,
1999-07,2137.897,
1999-10,2504.780,
2000-01,2346.487,
2000-04,2382.214,
2000-07,2881.956,
2000-10,3124.002,
2001-01,2969.192,
2001-04,2800.907,
2001-07,3066.190,
2001-10,3203.081,
2002-01,3091.553,
2002-04,3234.029,
2002-07,3008.782,
2002-10,3315.963,
2003-01,3083.299,
2003-04,2965.403,
2003-07,3171.748,
2003-10,2850.651,
2004-01,3101.018,
2004-04,3273.606,
2004-07,3166.312,
2004-10,3573.614,
2005-01,3516.147,
2005-04,3608.674,
2005-07,4060.181,
2005-10,4217.277,
2006-01,4168.409,
2006-04,4293.588,
2006-07,4643.729,
2006-10,5317.530,
2007-01,5274.734,
2007-04,4807.901,
2007-07,5419.017,
2007-10,4854.194,
2008-01,5367.495,
2008-04,5583.761,
2008-07,6136.941,
2008-10,7785.850,
2009-01,5414.410,
2009-04,4715.304,
2009-07,4926.296,
2009-10,5693.555,
2010-01,5252.765,
2010-04,5992.045,
2010-07,7196.996,
2010-10,6874.609,
2011-01,5987.792,
2011-04,5828.532,
2011-07,6260.368,
2011-10,8391.586,
2012-01,7151.591,
2012-04,7509.842,
2012-07,8146.576,
2012-10,8434.752,
2013-01,7364.298,
2013-04,8113.542,
2013-07,8057.953,
2013-10,9354.357,
2014-01,8056.374,Provisional value
2014-04,8286.446,Provisional value
2014-07,9192.020,Provisional value
