"",BBK01.OEBL02V,BBK01.OEBL02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:11,
2002-01,1.635,
2002-04,1.918,
2002-07,1.922,
2002-10,2.020,
2003-01,1.975,
2003-04,1.887,
2003-07,1.889,
2003-10,2.044,
2004-01,1.991,
2004-04,1.956,
2004-07,1.899,
2004-10,1.888,
2005-01,2.325,
2005-04,2.345,
2005-07,2.355,
2005-10,2.497,
2006-01,2.530,
2006-04,2.449,
2006-07,2.341,
2006-10,2.513,
2007-01,2.501,
2007-04,2.640,
2007-07,2.708,
2007-10,2.866,
2008-01,2.822,
2008-04,2.878,
2008-07,2.981,
2008-10,3.350,
2009-01,3.566,
2009-04,3.394,
2009-07,3.408,
2009-10,3.542,
2010-01,3.582,
2010-04,3.664,
2010-07,3.734,
2010-10,3.851,
2011-01,3.774,
2011-04,3.866,
2011-07,3.984,
2011-10,4.070,
2012-01,4.048,
2012-04,4.095,
2012-07,3.901,
2012-10,4.121,
2013-01,4.252,
2013-04,4.392,
2013-07,4.433,
2013-10,4.592,
2014-01,4.657,
2014-04,4.788,
2014-07,4.822,
