"",BBK01.OECL07U,BBK01.OECL07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:04,
2002-01,0.725,
2002-04,0.573,
2002-07,0.578,
2002-10,0.636,
2003-01,0.645,
2003-04,0.618,
2003-07,0.636,
2003-10,0.632,
2004-01,0.605,
2004-04,0.638,
2004-07,0.676,
2004-10,0.702,
2005-01,1.394,
2005-04,1.371,
2005-07,1.348,
2005-10,1.339,
2006-01,1.331,
2006-04,1.299,
2006-07,1.259,
2006-10,1.244,
2007-01,1.252,
2007-04,1.233,
2007-07,1.203,
2007-10,1.219,
2008-01,1.209,
2008-04,1.234,
2008-07,1.199,
2008-10,1.220,
2009-01,1.244,
2009-04,1.269,
2009-07,1.312,
2009-10,1.348,
2010-01,1.355,
2010-04,1.335,
2010-07,1.347,
2010-10,1.364,
2011-01,1.354,
2011-04,1.336,
2011-07,1.331,
2011-10,1.328,
2012-01,1.435,
2012-04,1.417,
2012-07,1.428,
2012-10,1.476,
2013-01,1.465,
2013-04,1.451,
2013-07,1.442,
2013-10,1.460,
2014-01,1.457,
2014-04,1.433,
2014-07,1.465,
