"",BBFN1.M.DE.N.1.A.SG.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SG.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Total / Singapore,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:05,
1982-09,0.008,
1982-10,0.009,
1982-11,0.009,
1982-12,0.009,
1983-01,0.008,
1983-02,0.009,
1983-03,0.010,
1983-04,0.009,
1983-05,0.009,
1983-06,0.009,
1983-07,0.009,
1983-08,0.009,
1983-09,0.009,
1983-10,0.009,
1983-11,0.009,
1983-12,0.010,
1984-01,0.010,
1984-02,0.009,
1984-03,0.009,
1984-04,0.009,
1984-05,0.009,
1984-06,0.009,
1984-07,0.009,
1984-08,0.009,
1984-09,0.009,
1984-10,0.008,
1984-11,0.008,
1984-12,0.011,
1985-01,0.010,
1985-02,0.010,
1985-03,0.012,
1985-04,0.011,
1985-05,0.011,
1985-06,0.011,
1985-07,0.011,
1985-08,0.012,
1985-09,0.012,
1985-10,0.012,
1985-11,0.017,
1985-12,0.017,
1986-01,0.014,
1986-02,0.012,
1986-03,0.012,
1986-04,0.012,
1986-05,0.012,
1986-06,0.012,
1986-07,0.012,
1986-08,0.012,
1986-09,0.012,
1986-10,0.012,
1986-11,0.011,
1986-12,0.010,
1987-01,0.010,
1987-02,0.010,
1987-03,0.010,
1987-04,0.010,
1987-05,0.008,
1987-06,0.008,
1987-07,0.008,
1987-08,0.008,
1987-09,0.008,
1987-10,0.008,
1987-11,0.008,
1987-12,0.007,
1988-01,0.007,
1988-02,0.008,
1988-03,0.008,
1988-04,0.008,
1988-05,0.009,
1988-06,0.009,
1988-07,0.009,
1988-08,0.010,
1988-09,0.009,
1988-10,0.009,
1988-11,0.009,
1988-12,0.011,
1989-01,0.011,
1989-02,0.011,
1989-03,0.011,
1989-04,0.011,
1989-05,0.011,
1989-06,0.011,
1989-07,0.011,
1989-08,0.011,
1989-09,0.011,
1989-10,0.012,
1989-11,0.012,
1989-12,0.012,
1990-01,0.011,
1990-02,0.010,
1990-03,0.009,
1990-04,0.010,
1990-05,0.010,
1990-06,0.010,
1990-07,0.010,
1990-08,0.011,
1990-09,0.010,
1990-10,0.009,
1990-11,0.009,
1990-12,0.009,
1991-01,0.009,
1991-02,0.009,
1991-03,0.007,
1991-04,0.008,
1991-05,0.007,
1991-06,0.007,
1991-07,0.007,
1991-08,0.007,
1991-09,0.007,
1991-10,0.007,
1991-11,0.007,
1991-12,0.007,
1992-01,0.006,
1992-02,0.006,
1992-03,0.006,
1992-04,0.007,
1992-05,0.010,
1992-06,0.010,
1992-07,0.010,
1992-08,0.006,
1992-09,0.006,
1992-10,0.006,
1992-11,0.007,
1992-12,0.007,
1993-01,0.008,
1993-02,0.006,
1993-03,0.005,
1993-04,0.007,
1993-05,0.007,
1993-06,0.006,
1993-07,0.006,
1993-08,0.006,
1993-09,0.006,
1993-10,0.006,
1993-11,0.006,
1993-12,0.006,
1994-01,0.006,
1994-02,0.006,
1994-03,0.007,
1994-04,0.006,
1994-05,0.007,
1994-06,0.006,
1994-07,0.008,
1994-08,0.010,
1994-09,0.010,
1994-10,0.010,
1994-11,0.010,
1994-12,0.009,
1995-01,0.007,
1995-02,0.009,
1995-03,0.008,
1995-04,0.008,
1995-05,0.010,
1995-06,0.010,
1995-07,0.012,
1995-08,0.011,
1995-09,0.012,
1995-10,0.014,
1995-11,0.015,
1995-12,0.011,
1996-01,0.011,
1996-02,0.011,
1996-03,0.011,
1996-04,0.012,
1996-05,0.012,
1996-06,0.013,
1996-07,0.012,
1996-08,0.012,
1996-09,0.014,
1996-10,0.014,
1996-11,0.015,
1996-12,0.012,
1997-01,0.011,
1997-02,0.012,
1997-03,0.014,
1997-04,0.014,
1997-05,0.014,
1997-06,0.013,
1997-07,0.014,
1997-08,0.014,
1997-09,0.014,
1997-10,0.015,
1997-11,0.014,
1997-12,0.015,
1998-01,0.021,
1998-02,0.021,
1998-03,0.020,
1998-04,0.021,
1998-05,0.022,
1998-06,0.022,
1998-07,0.024,
1998-08,0.025,
1998-09,0.025,
1998-10,0.025,
1998-11,0.026,
1998-12,0.026,
1999-01,0.027,
1999-02,0.074,
1999-03,0.075,
1999-04,0.081,
1999-05,0.091,
1999-06,0.084,
1999-07,0.085,
1999-08,0.083,
1999-09,0.085,
1999-10,0.084,
1999-11,0.088,
1999-12,0.089,
2000-01,0.091,
2000-02,0.089,
2000-03,0.090,
2000-04,0.089,
2000-05,0.148,
2000-06,0.150,
2000-07,0.142,
2000-08,0.142,
2000-09,0.142,
2000-10,0.165,
2000-11,0.172,
2000-12,0.173,
2001-01,0.166,
2001-02,0.165,
2001-03,0.257,
2001-04,0.255,
2001-05,0.253,
2001-06,0.123,
2001-07,0.153,
2001-08,0.152,
2001-09,0.099,
2001-10,0.099,
2001-11,0.099,
2001-12,0.072,
2002-01,0.072,
2002-02,0.075,
2002-03,0.065,
2002-04,0.065,
2002-05,0.116,
2002-06,0.115,
2002-07,0.070,
2002-08,0.071,
2002-09,0.128,
2002-10,0.110,
2002-11,0.110,
2002-12,0.110,
2003-01,0.111,
2003-02,0.111,
2003-03,0.110,
2003-04,0.093,
2003-05,0.093,
2003-06,0.093,
2003-07,0.081,
2003-08,0.082,
2003-09,0.081,
2003-10,0.205,
2003-11,0.207,
2003-12,0.203,
2004-01,0.204,
2004-02,0.169,
2004-03,0.156,
2004-04,0.155,
2004-05,0.155,
2004-06,0.154,
2004-07,0.154,
2004-08,0.155,
2004-09,0.154,
2004-10,0.162,
2004-11,0.158,
2004-12,0.161,
2005-01,0.167,
2005-02,0.167,
2005-03,0.169,
2005-04,0.167,
2005-05,0.168,
2005-06,0.172,
2005-07,0.175,
2005-08,0.171,
2005-09,0.182,
2005-10,0.181,
2005-11,0.181,
2005-12,0.183,
