"",BBK01.WXI049,BBK01.WXI049_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:00,
2009-09,651,
2009-10,780,
2009-11,789,
2009-12,762,
2010-01,842,
2010-02,850,
2010-03,853,
2010-04,810,
2010-05,846,
2010-06,890,
2010-07,892,
2010-08,855,
2010-09,829,
2010-10,599,
2010-11,600,
2010-12,554,
2011-01,558,
2011-02,544,
2011-03,557,
2011-04,565,
2011-05,590,
2011-06,626,
2011-07,461,
2011-08,613,
2011-09,740,
2011-10,702,
2011-11,659,
2011-12,548,
2012-01,646,
2012-02,611,
2012-03,665,
2012-04,742,
2012-05,523,
2012-06,510,
2012-07,464,
2012-08,983,
2012-09,428,
2012-10,381,
2012-11,387,
2012-12,339,
2013-01,373,
2013-02,382,
2013-03,305,
2013-04,366,
2013-05,364,
2013-06,355,
2013-07,348,
2013-08,469,
2013-09,329,
2013-10,377,
2013-11,345,
2013-12,224,
2014-01,337,
2014-02,289,
2014-03,321,
2014-04,231,
2014-05,269,
2014-06,247,
2014-07,276,
2014-08,231,
2014-09,300,
2014-10,267,
2014-11,260,
