"",BBK01.OELB19U,BBK01.OELB19U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:47,
2002-01,0.115,
2002-04,0.112,
2002-07,0.109,
2002-10,0.104,
2003-01,0.098,
2003-04,0.094,
2003-07,0.091,
2003-10,0.085,
2004-01,0.082,
2004-04,0.079,
2004-07,0.074,
2004-10,0.084,
2005-01,0.081,
2005-04,0.089,
2005-07,0.089,
2005-10,0.081,
2006-01,0.078,
2006-04,0.079,
2006-07,0.069,
2006-10,0.059,
2007-01,0.058,
2007-04,0.058,
2007-07,0.056,
2007-10,0.053,
2008-01,0.052,
2008-04,0.051,
2008-07,0.050,
2008-10,0.047,
2009-01,0.047,
2009-04,0.049,
2009-07,0.050,
2009-10,0.049,
2010-01,0.048,
2010-04,0.049,
2010-07,0.050,
2010-10,0.051,
2011-01,0.050,
2011-04,0.052,
2011-07,0.054,
2011-10,0.055,
2012-01,0.055,
2012-04,0.057,
2012-07,0.059,
2012-10,0.059,
2013-01,0.057,
2013-04,0.057,
2013-07,0.063,
2013-10,0.061,
2014-01,0.061,
2014-04,0.062,
2014-07,0.062,
