"",BBK01.OEAC37L,BBK01.OEAC37L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:38,
2002-01,1.070,
2002-04,0.981,
2002-07,0.908,
2002-10,0.877,
2003-01,0.707,
2003-04,0.687,
2003-07,0.553,
2003-10,0.629,
2004-01,0.600,
2004-04,0.517,
2004-07,0.578,
2004-10,0.594,
2005-01,0.592,
2005-04,0.586,
2005-07,0.566,
2005-10,0.527,
2006-01,0.556,
2006-04,0.550,
2006-07,0.741,
2006-10,0.672,
2007-01,0.687,
2007-04,0.721,
2007-07,0.801,
2007-10,0.782,
2008-01,0.789,
2008-04,0.727,
2008-07,0.750,
2008-10,0.816,
2009-01,0.864,
2009-04,1.024,
2009-07,0.917,
2009-10,0.926,
2010-01,0.818,
2010-04,0.859,
2010-07,0.867,
2010-10,0.809,
2011-01,0.829,
2011-04,0.745,
2011-07,0.722,
2011-10,0.689,
2012-01,0.646,
2012-04,0.854,
2012-07,0.703,
2012-10,0.717,
2013-01,0.805,
2013-04,0.822,
2013-07,0.950,
2013-10,0.966,
2014-01,0.933,
2014-04,0.886,
2014-07,1.020,
