"",BBK01.OELM01I,BBK01.OELM01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:27,
2002-01,0.144,
2002-04,0.216,
2002-07,0.692,
2002-10,0.787,
2003-01,0.778,
2003-04,0.686,
2003-07,0.570,
2003-10,0.480,
2004-01,0.541,
2004-04,0.397,
2004-07,0.522,
2004-10,0.758,
2005-01,0.704,
2005-04,0.578,
2005-07,0.772,
2005-10,1.186,
2006-01,1.133,
2006-04,1.062,
2006-07,1.041,
2006-10,1.335,
2007-01,0.980,
2007-04,1.013,
2007-07,1.056,
2007-10,1.337,
2008-01,0.938,
2008-04,0.759,
2008-07,0.774,
2008-10,0.566,
2009-01,0.627,
2009-04,0.495,
2009-07,0.381,
2009-10,0.608,
2010-01,0.506,
2010-04,0.506,
2010-07,0.342,
2010-10,0.308,
2011-01,0.294,
2011-04,0.358,
2011-07,0.210,
2011-10,0.091,
2012-01,0.149,
2012-04,0.202,
2012-07,0.439,
2012-10,0.620,
2013-01,0.694,
2013-04,0.757,
2013-07,0.734,
2013-10,0.848,
2014-01,0.667,
2014-04,0.546,
2014-07,0.844,
