"",BBK01.OELI09K,BBK01.OELI09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:17,
2002-01,0.214,
2002-04,0.209,
2002-07,0.211,
2002-10,0.199,
2003-01,0.165,
2003-04,0.186,
2003-07,0.182,
2003-10,0.245,
2004-01,0.291,
2004-04,0.286,
2004-07,0.295,
2004-10,0.245,
2005-01,0.227,
2005-04,0.230,
2005-07,0.263,
2005-10,0.292,
2006-01,0.282,
2006-04,0.287,
2006-07,0.252,
2006-10,0.230,
2007-01,0.206,
2007-04,0.179,
2007-07,0.186,
2007-10,0.189,
2008-01,0.170,
2008-04,0.158,
2008-07,0.104,
2008-10,0.098,
2009-01,0.147,
2009-04,0.213,
2009-07,0.253,
2009-10,0.262,
2010-01,0.231,
2010-04,0.290,
2010-07,0.293,
2010-10,0.287,
2011-01,0.287,
2011-04,0.271,
2011-07,0.278,
2011-10,0.269,
2012-01,0.277,
2012-04,0.268,
2012-07,0.246,
2012-10,0.238,
2013-01,0.215,
2013-04,0.111,
2013-07,0.110,
2013-10,0.112,
2014-01,0.159,
2014-04,0.177,
2014-07,0.171,
