"",BBK01.OEAA50Q,BBK01.OEAA50Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:29,
2002-01,0.835,
2002-04,0.846,
2002-07,0.792,
2002-10,0.749,
2003-01,0.702,
2003-04,0.511,
2003-07,0.988,
2003-10,0.792,
2004-01,0.622,
2004-04,0.954,
2004-07,0.509,
2004-10,0.607,
2005-01,0.941,
2005-04,2.220,
2005-07,3.809,
2005-10,1.613,
2006-01,6.032,
2006-04,5.815,
2006-07,4.394,
2006-10,1.683,
2007-01,6.527,
2007-04,3.200,
2007-07,1.159,
2007-10,4.616,
2008-01,4.711,
2008-04,2.742,
2008-07,2.638,
2008-10,4.035,
2009-01,3.648,
2009-04,3.657,
2009-07,3.579,
2009-10,3.988,
2010-01,3.896,
2010-04,4.169,
2010-07,3.548,
2010-10,3.877,
2011-01,3.631,
2011-04,3.584,
2011-07,3.474,
2011-10,3.553,
2012-01,3.250,
2012-04,3.451,
2012-07,3.370,
2012-10,1.825,
2013-01,1.956,
2013-04,1.741,
2013-07,1.709,
2013-10,1.859,
2014-01,1.633,
2014-04,1.728,
2014-07,1.912,
