"",BBK01.TVE301,BBK01.TVE301_FLAGS
"",Money stock M3 / Money stock M2 / Money stock M1 / Total / Changes,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:18:34,
1997-10,3505,
1997-11,34188,
1997-12,57120,
1998-01,-60540,
1998-02,2368,
1998-03,29673,
1998-04,16986,
1998-05,18463,
1998-06,47358,
1998-07,-37270,
1998-08,-12921,
1998-09,24226,
1998-10,2685,
1998-11,48612,
1998-12,76281,
1999-01,19692,
1999-02,-31651,
1999-03,20125,
1999-04,13992,
1999-05,31893,
1999-06,42708,
1999-07,60,
1999-08,-35326,
1999-09,25988,
1999-10,5343,
1999-11,33065,
1999-12,52632,
2000-01,9897,
2000-02,-8825,
2000-03,10518,
2000-04,38372,
2000-05,-13820,
2000-06,16755,
2000-07,-3180,
2000-08,-35738,
2000-09,11523,
2000-10,-2690,
2000-11,21344,
2000-12,68381,
2001-01,-70824,
2001-02,1,
2001-03,9480,
2001-04,33713,
2001-05,16936,
2001-06,41597,
2001-07,-21502,
2001-08,-37391,
2001-09,58607,
2001-10,-11098,
2001-11,34091,
2001-12,68598,
2002-01,-40788,
2002-02,-10852,
2002-03,10747,
2002-04,41163,
2002-05,14946,
2002-06,61605,
2002-07,-22937,
2002-08,-26358,
2002-09,63008,
2002-10,-9182,
2002-11,59980,
2002-12,77831,
2003-01,-60968,
2003-02,10350,
2003-03,46985,
2003-04,30908,
2003-05,37531,
2003-06,55366,
2003-07,-18940,
2003-08,-13830,
2003-09,45834,
2003-10,4340,
2003-11,49239,
2003-12,64909,
2004-01,-24639,
2004-02,1663,
2004-03,40774,
2004-04,24456,
2004-05,18743,
2004-06,44241,
2004-07,1352,
2004-08,-38726,
2004-09,63089,
2004-10,10140,
2004-11,50480,
2004-12,38765,
2005-01,14630,
2005-02,4410,
2005-03,26858,
2005-04,33115,
2005-05,30212,
2005-06,76848,
2005-07,16477,
2005-08,-50598,
2005-09,53283,
2005-10,27186,
2005-11,28232,
2005-12,91850,
2006-01,-36410,
2006-02,-3182,
2006-03,28733,
2006-04,66628,
2006-05,18728,
2006-06,48221,
2006-07,-25620,
2006-08,-56661,
2006-09,64769,
2006-10,-17356,
2006-11,47964,
2006-12,138902,
2007-01,-81558,
2007-02,-6335,
2007-03,61585,
2007-04,20818,
2007-05,21208,
2007-06,67922,
2007-07,-12645,
2007-08,-82162,
2007-09,76199,
2007-10,-30382,
2007-11,41549,
2007-12,69850,
2008-01,-61881,
2008-02,-46888,
2008-03,54532,
2008-04,-15704,
2008-05,28784,
2008-06,48126,
2008-07,-77685,
2008-08,-52922,
2008-09,83481,
2008-10,56034,
2008-11,25647,
2008-12,74647,
2009-01,21840,
2009-02,3849,
2009-03,33686,
2009-04,82675,
2009-05,27346,
2009-06,90711,
2009-07,-672,
2009-08,7399,
2009-09,62622,
2009-10,55580,
2009-11,38601,
2009-12,80737,
2010-01,-2195,
2010-02,-17195,
2010-03,5394,
2010-04,80496,
2010-05,30583,
2010-06,43977,
2010-07,-11659,
2010-08,-35179,
2010-09,8316,
2010-10,9074,
2010-11,10431,
2010-12,66932,
2011-01,-45033,
2011-02,-33510,
2011-03,17000,
2011-04,40195,
2011-05,-15857,
2011-06,55379,
2011-07,-20465,
2011-08,-17139,
2011-09,18826,
2011-10,10834,
2011-11,15517,
2011-12,80059,
2012-01,-49163,
2012-02,-31368,
2012-03,49250,
2012-04,3709,
2012-05,39113,
2012-06,74319,
2012-07,22733,
2012-08,1795,
2012-09,47194,
2012-10,34074,
2012-11,35353,
2012-12,82310,
2013-01,-53868,
2013-02,5059,
2013-03,47206,
2013-04,73840,
2013-05,25803,
2013-06,45062,
2013-07,-8322,
2013-08,25402,
2013-09,23615,
2013-10,38514,
2013-11,47119,
2013-12,13661,
2014-01,-36549,
2014-02,12155,
2014-03,32996,
2014-04,38229,
2014-05,54889,
2014-06,44370,
2014-07,10270,
2014-08,34853,
2014-09,33392,
2014-10,38293,
2014-11,100631,
2014-12,51531,
2015-01,55446,
