"",BBSF2.M.1.T.00000.GEM01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEM01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Mixed securities funds / Net asset value,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:38,
2009-09,253043,
2009-10,254822,
2009-11,256952,
2009-12,259051,
2010-01,259166,
2010-02,260538,
2010-03,266209,
2010-04,264562,
2010-05,261150,
2010-06,264402,
2010-07,269239,
2010-08,274810,
2010-09,274965,
2010-10,279243,
2010-11,278543,
2010-12,290075,
2011-01,292975,
2011-02,298482,
2011-03,296876,
2011-04,299074,
2011-05,300000,
2011-06,297949,
2011-07,298931,
2011-08,290806,
2011-09,286749,
2011-10,290607,
2011-11,283708,
2011-12,285733,
2012-01,287728,
2012-02,296376,
2012-03,297987,
2012-04,299599,
2012-05,297300,
2012-06,298081,
2012-07,304955,
2012-08,308285,
2012-09,312107,
2012-10,314912,
2012-11,320496,
2012-12,326626,
2013-01,328991,
2013-02,335919,
2013-03,342314,
2013-04,349826,
2013-05,351752,
2013-06,347665,
2013-07,356286,
2013-08,355708,
2013-09,361517,
2013-10,368742,
2013-11,367165,
2013-12,369017,
2014-01,370766,
2014-02,378137,
2014-03,379759,
2014-04,382375,
2014-05,389876,
2014-06,391805,
2014-07,398008,
2014-08,427600,
2014-09,427554,
2014-10,429810,
2014-11,435149,
