"",BBK01.OEYK03J,BBK01.OEYK03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:00,
2002-01,0.018,
2002-04,0.017,
2002-07,0.020,
2002-10,0.020,
2003-01,0.019,
2003-04,0.018,
2003-07,0.018,
2003-10,0.018,
2004-01,0.017,
2004-04,0.016,
2004-07,0.016,
2004-10,0.015,
2005-01,0.020,
2005-04,0.019,
2005-07,0.028,
2005-10,0.035,
2006-01,0.044,
2006-04,0.037,
2006-07,0.037,
2006-10,0.044,
2007-01,0.042,
2007-04,0.031,
2007-07,0.061,
2007-10,0.096,
2008-01,0.100,
2008-04,0.086,
2008-07,0.101,
2008-10,0.156,
2009-01,0.079,
2009-04,0.059,
2009-07,0.025,
2009-10,0.017,
2010-01,0.014,
2010-04,0.009,
2010-07,0.009,
2010-10,0.008,
2011-01,0.007,
2011-04,0.007,
2011-07,0.012,
2011-10,0.015,
2012-01,0.010,
2012-04,0.007,
2012-07,0.009,
2012-10,0.008,
2013-01,0.009,
2013-04,0.009,
2013-07,0.011,
2013-10,0.012,
2014-01,0.012,
2014-04,0.012,
2014-07,0.011,
