"",BBK01.OEXL04P,BBK01.OEXL04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:09,
2002-01,0.086,
2002-04,0.078,
2002-07,0.080,
2002-10,0.076,
2003-01,0.072,
2003-04,0.060,
2003-07,0.040,
2003-10,0.040,
2004-01,0.041,
2004-04,0.037,
2004-07,0.035,
2004-10,0.034,
2005-01,0.031,
2005-04,0.032,
2005-07,0.029,
2005-10,0.030,
2006-01,0.031,
2006-04,0.030,
2006-07,0.039,
2006-10,0.052,
2007-01,0.056,
2007-04,0.057,
2007-07,0.066,
2007-10,0.093,
2008-01,0.093,
2008-04,0.107,
2008-07,0.116,
2008-10,0.156,
2009-01,0.134,
2009-04,0.107,
2009-07,0.070,
2009-10,0.040,
2010-01,0.027,
2010-04,0.035,
2010-07,0.024,
2010-10,0.019,
2011-01,0.024,
2011-04,0.023,
2011-07,0.027,
2011-10,0.083,
2012-01,0.150,
2012-04,0.157,
2012-07,0.149,
2012-10,0.106,
2013-01,0.076,
2013-04,0.064,
2013-07,0.050,
2013-10,0.039,
2014-01,0.022,
2014-04,0.012,
2014-07,0.010,
