"",BBK01.OELB02G,BBK01.OELB02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:12,
2002-01,10.148,
2002-04,10.215,
2002-07,9.982,
2002-10,9.707,
2003-01,9.361,
2003-04,9.219,
2003-07,8.938,
2003-10,8.565,
2004-01,8.313,
2004-04,8.149,
2004-07,7.872,
2004-10,7.172,
2005-01,7.219,
2005-04,7.056,
2005-07,6.946,
2005-10,6.725,
2006-01,6.744,
2006-04,6.888,
2006-07,6.852,
2006-10,6.806,
2007-01,6.819,
2007-04,6.972,
2007-07,7.002,
2007-10,7.192,
2008-01,7.325,
2008-04,7.218,
2008-07,7.189,
2008-10,7.153,
2009-01,7.170,
2009-04,7.096,
2009-07,6.938,
2009-10,6.531,
2010-01,6.561,
2010-04,6.650,
2010-07,6.386,
2010-10,6.108,
2011-01,6.241,
2011-04,6.317,
2011-07,6.190,
2011-10,5.899,
2012-01,6.160,
2012-04,6.344,
2012-07,6.423,
2012-10,6.337,
2013-01,6.447,
2013-04,6.398,
2013-07,6.298,
2013-10,6.133,
2014-01,6.307,
2014-04,6.395,
2014-07,6.326,
