"",BBFN1.M.DE.N.1.A.FR.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.FR.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / France,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:10:02,
1971-12,0.301,
1972-01,.,Value available later
1972-02,.,Value available later
1972-03,.,Value available later
1972-04,.,Value available later
1972-05,.,Value available later
1972-06,.,Value available later
1972-07,.,Value available later
1972-08,.,Value available later
1972-09,.,Value available later
1972-10,.,Value available later
1972-11,.,Value available later
1972-12,0.299,
1973-01,.,Value available later
1973-02,.,Value available later
1973-03,.,Value available later
1973-04,.,Value available later
1973-05,.,Value available later
1973-06,.,Value available later
1973-07,.,Value available later
1973-08,.,Value available later
1973-09,.,Value available later
1973-10,.,Value available later
1973-11,.,Value available later
1973-12,0.225,
1974-01,.,Value available later
1974-02,.,Value available later
1974-03,.,Value available later
1974-04,.,Value available later
1974-05,.,Value available later
1974-06,.,Value available later
1974-07,.,Value available later
1974-08,.,Value available later
1974-09,.,Value available later
1974-10,.,Value available later
1974-11,.,Value available later
1974-12,0.430,
1975-01,.,Value available later
1975-02,.,Value available later
1975-03,.,Value available later
1975-04,.,Value available later
1975-05,.,Value available later
1975-06,.,Value available later
1975-07,.,Value available later
1975-08,.,Value available later
1975-09,.,Value available later
1975-10,.,Value available later
1975-11,.,Value available later
1975-12,0.500,
1976-01,.,Value available later
1976-02,.,Value available later
1976-03,.,Value available later
1976-04,.,Value available later
1976-05,.,Value available later
1976-06,.,Value available later
1976-07,.,Value available later
1976-08,.,Value available later
1976-09,.,Value available later
1976-10,.,Value available later
1976-11,.,Value available later
1976-12,0.566,
1977-01,.,Value available later
1977-02,.,Value available later
1977-03,.,Value available later
1977-04,.,Value available later
1977-05,.,Value available later
1977-06,.,Value available later
1977-07,.,Value available later
1977-08,.,Value available later
1977-09,.,Value available later
1977-10,.,Value available later
1977-11,.,Value available later
1977-12,0.604,
1978-01,.,Value available later
1978-02,.,Value available later
1978-03,.,Value available later
1978-04,.,Value available later
1978-05,.,Value available later
1978-06,.,Value available later
1978-07,.,Value available later
1978-08,.,Value available later
1978-09,.,Value available later
1978-10,.,Value available later
1978-11,.,Value available later
1978-12,0.822,
1979-01,.,Value available later
1979-02,.,Value available later
1979-03,.,Value available later
1979-04,.,Value available later
1979-05,.,Value available later
1979-06,.,Value available later
1979-07,.,Value available later
1979-08,.,Value available later
1979-09,.,Value available later
1979-10,.,Value available later
1979-11,.,Value available later
1979-12,0.942,
1980-01,.,Value available later
1980-02,.,Value available later
1980-03,.,Value available later
1980-04,.,Value available later
1980-05,.,Value available later
1980-06,.,Value available later
1980-07,.,Value available later
1980-08,.,Value available later
1980-09,.,Value available later
1980-10,.,Value available later
1980-11,.,Value available later
1980-12,1.105,
1981-01,.,Value available later
1981-02,.,Value available later
1981-03,.,Value available later
1981-04,.,Value available later
1981-05,.,Value available later
1981-06,.,Value available later
1981-07,.,Value available later
1981-08,.,Value available later
1981-09,.,Value available later
1981-10,.,Value available later
1981-11,.,Value available later
1981-12,1.159,
1982-01,.,Value available later
1982-02,.,Value available later
1982-03,.,Value available later
1982-04,.,Value available later
1982-05,.,Value available later
1982-06,.,Value available later
1982-07,.,Value available later
1982-08,.,Value available later
1982-09,1.257,
1982-10,1.359,
1982-11,1.395,
1982-12,1.206,
1983-01,1.278,
1983-02,1.322,
1983-03,1.297,
1983-04,1.323,
1983-05,1.190,
1983-06,1.191,
1983-07,1.266,
1983-08,1.266,
1983-09,1.263,
1983-10,1.465,
1983-11,1.546,
1983-12,1.435,
1984-01,1.520,
1984-02,1.846,
1984-03,1.856,
1984-04,1.734,
1984-05,1.667,
1984-06,1.553,
1984-07,1.529,
1984-08,1.756,
1984-09,1.737,
1984-10,1.679,
1984-11,1.831,
1984-12,1.744,
1985-01,1.982,
1985-02,1.955,
1985-03,1.764,
1985-04,1.596,
1985-05,1.621,
1985-06,1.850,
1985-07,1.475,
1985-08,1.483,
1985-09,1.519,
1985-10,1.784,
1985-11,1.734,
1985-12,1.639,
1986-01,1.762,
1986-02,1.848,
1986-03,1.918,
1986-04,1.857,
1986-05,1.848,
1986-06,1.842,
1986-07,1.979,
1986-08,2.020,
1986-09,1.912,
1986-10,2.179,
1986-11,2.470,
1986-12,2.097,
1987-01,2.130,
1987-02,1.944,
1987-03,1.728,
1987-04,1.961,
1987-05,1.937,
1987-06,1.904,
1987-07,2.031,
1987-08,1.892,
1987-09,1.977,
1987-10,1.944,
1987-11,1.863,
1987-12,1.967,
1988-01,1.974,
1988-02,2.141,
1988-03,2.147,
1988-04,2.163,
1988-05,2.231,
1988-06,2.260,
1988-07,2.150,
1988-08,2.132,
1988-09,2.190,
1988-10,2.155,
1988-11,1.968,
1988-12,2.112,
1989-01,2.283,
1989-02,2.197,
1989-03,2.139,
1989-04,2.040,
1989-05,2.010,
1989-06,2.052,
1989-07,2.077,
1989-08,1.977,
1989-09,2.006,
1989-10,3.658,
1989-11,3.751,
1989-12,3.673,
