"",BBEX3.M.DJF.EUR.CA.AC.A01,BBEX3.M.DJF.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Djibouti / EUR 1 = DJF ... (middle),
unit,DJF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:59,
1999-01,204.420,
1999-02,197.985,
1999-03,191.340,
1999-04,189.930,
1999-05,186.750,
1999-06,185.270,
1999-07,190.500,
1999-08,187.715,
1999-09,190.915,
1999-10,187.000,
1999-11,180.915,
1999-12,180.275,
2000-01,175.805,
2000-02,173.870,
2000-03,170.890,
2000-04,161.840,
2000-05,166.865,
2000-06,168.920,
2000-07,165.435,
2000-08,160.225,
2000-09,158.460,
2000-10,160.225,
2000-11,153.985,
2000-12,165.435,
2001-01,166.055,
2001-02,164.380,
2001-03,158.955,
2001-04,159.635,
2001-05,153.125,
2001-06,154.615,
2001-07,156.845,
2001-08,162.750,
2001-09,163.755,
2001-10,162.930,
2001-11,159.030,
2001-12,158.120,
2002-01,154.970,
2002-02,154.880,
2002-03,156.155,
2002-04,162.050,
2002-05,168.115,
2002-06,177.075,
2002-07,176.445,
2002-08,176.250,
2002-09,176.250,
2002-10,176.840,
2002-11,177.540,
2002-12,186.980,
2003-01,193.905,
2003-02,193.400,
2003-03,193.995,
2003-04,199.230,
2003-05,210.590,
2003-06,204.685,
2003-07,203.525,
2003-08,196.945,
2003-09,208.030,
2003-10,208.980,
2003-11,214.725,
2003-12,223.460,
2004-01,223.820,
2004-02,223.610,
2004-03,219.135,
2004-04,211.785,
2004-05,218.815,
2004-06,216.540,
2004-07,216.130,
2004-08,216.290,
2004-09,220.690,
2004-10,229.065,
2004-11,237.285,
2004-12,243.080,
2005-01,233.120,
2005-02,237.540,
2005-03,231.420,
2005-04,231.385,
2005-05,222.930,
2005-06,216.470,
2005-07,216.995,
2005-08,218.815,
2005-09,215.680,
2005-10,215.810,
2005-11,211.000,
2005-12,212.145,
2006-01,216.615,
2006-02,212.275,
2006-03,216.035,
2006-04,226.130,
2006-05,230.290,
2006-06,224.405,
2006-07,228.315,
2006-08,229.460,
2006-09,227.585,
2006-10,227.445,
2006-11,235.465,
2006-12,234.590,
2007-01,231.785,
2007-02,236.360,
2007-03,238.290,
2007-04,243.955,
2007-05,240.235,
2007-06,240.795,
2007-07,245.280,
2007-08,244.295,
2007-09,252.870,
2007-10,258.270,
2007-11,265.185,
2007-12,263.310,
2008-01,265.470,
2008-02,270.190,
2008-03,282.680,
2008-04,278.440,
2008-05,279.940,
2008-06,281.845,
2008-07,278.815,
2008-08,262.525,comment
2008-09,259.395,
2008-10,236.415,
2008-11,226.750,comment
2008-12,247.955,comment
2009-01,234.605,
2009-02,227.960,
2009-03,237.040,
2009-04,237.325,
2009-05,253.195,
2009-06,252.460,
2009-07,251.390,
2009-08,255.710,
2009-09,261.430,
2009-10,263.250,
2009-11,269.600,
2009-12,256.140,
2010-01,248.125,
2010-02,240.900,
2010-03,239.825,
2010-04,236.260,
2010-05,220.440,
2010-06,218.425,
2010-07,232.685,
2010-08,226.350,
2010-09,243.685,
2010-10,249.430,
2010-11,235.055,
2010-12,236.970,
2011-01,243.170,
2011-02,245.850,
2011-03,252.870,
2011-04,265.865,
2011-05,257.090,
2011-06,259.445,
2011-07,257.505,
2011-08,259.090,
2011-09,243.435,
2011-10,253.000,
2011-11,238.760,
2011-12,231.085,
2012-01,235.805,
2012-02,241.020,
2012-03,238.310,
2012-04,238.555,
2012-05,221.365,
2012-06,223.955,
2012-07,219.720,
2012-08,224.260,
2012-09,229.985,
2012-10,231.835,
2012-11,231.715,
2012-12,236.520,
2013-01,242.665,
2013-02,235.090,
2013-03,229.005,
2013-04,234.230,
2013-05,231.785,
2013-06,232.770,
2013-07,237.110,
2013-08,238.485,
2013-09,241.525,
2013-10,245.205,
2013-11,242.845,
2013-12,246.690,
2014-01,244.135,
2014-02,244.775,
2014-03,245.870,
2014-04,246.935,
2014-05,243.345,
2014-06,244.025,
2014-07,239.575,
2014-08,234.860,
2014-09,226.995,
2014-10,225.675,
2014-11,222.710,
2014-12,217.580,
2015-01,201.570,
"","Source: Calculated on the basis of the buying and selling rates of the Banque pour le Commerce et l'Industrie, Mer Rouge, Djibouti.",
"",Comment on 2008-08: Euro exchange rate not available; the comparative rate was calculated using the US dollar exchange rate in Djibouti in conjunction with the ECB's euro reference exchange rate for the US dollar.,
"",Comment on 2008-11: Euro exchange rate not available; the comparative rate was calculated using the US dollar exchange rate in Djibouti in conjunction with the ECB's euro reference exchange rate for the US dollar.,
"",Comment on 2008-12: Euro exchange rate not available; the comparative rate was calculated using the US dollar exchange rate in Djibouti in conjunction with the ECB's euro reference exchange rate for the US dollar.,
