"",BBK01.OEYI05Q,BBK01.OEYI05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:04,
2002-01,13.074,
2002-04,13.166,
2002-07,11.906,
2002-10,12.510,
2003-01,13.296,
2003-04,14.160,
2003-07,14.165,
2003-10,13.884,
2004-01,14.546,
2004-04,14.303,
2004-07,14.434,
2004-10,22.797,
2005-01,23.242,
2005-04,24.351,
2005-07,24.750,
2005-10,24.487,
2006-01,24.136,
2006-04,23.709,
2006-07,18.359,
2006-10,20.735,
2007-01,20.841,
2007-04,21.370,
2007-07,22.003,
2007-10,22.586,
2008-01,22.389,
2008-04,22.713,
2008-07,22.655,
2008-10,26.118,
2009-01,28.506,
2009-04,25.748,
2009-07,26.877,
2009-10,26.276,
2010-01,26.924,
2010-04,26.550,
2010-07,26.274,
2010-10,25.550,
2011-01,24.002,
2011-04,22.443,
2011-07,28.085,
2011-10,27.485,
2012-01,26.379,
2012-04,25.704,
2012-07,25.264,
2012-10,24.610,
2013-01,24.122,
2013-04,24.259,
2013-07,22.251,
2013-10,22.088,
2014-01,21.651,
2014-04,20.733,
2014-07,20.659,
