"",BBK01.OEBM03G,BBK01.OEBM03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:28,
2002-01,1.760,
2002-04,2.556,
2002-07,2.459,
2002-10,2.312,
2003-01,1.948,
2003-04,2.221,
2003-07,1.865,
2003-10,1.886,
2004-01,1.580,
2004-04,2.057,
2004-07,1.775,
2004-10,1.216,
2005-01,1.349,
2005-04,0.926,
2005-07,0.886,
2005-10,0.818,
2006-01,0.596,
2006-04,0.623,
2006-07,0.368,
2006-10,0.510,
2007-01,0.732,
2007-04,1.199,
2007-07,0.998,
2007-10,0.734,
2008-01,0.668,
2008-04,0.970,
2008-07,1.024,
2008-10,1.047,
2009-01,0.878,
2009-04,1.175,
2009-07,0.956,
2009-10,0.723,
2010-01,0.667,
2010-04,0.772,
2010-07,1.034,
2010-10,0.675,
2011-01,0.614,
2011-04,0.843,
2011-07,0.977,
2011-10,1.120,
2012-01,1.535,
2012-04,2.174,
2012-07,2.224,
2012-10,2.432,
2013-01,2.279,
2013-04,2.411,
2013-07,2.291,
2013-10,2.355,
2014-01,2.438,
2014-04,2.323,
2014-07,2.658,
