"",BBAI3.Q.DE.N.V.LE.F51M.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F51M.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Shares and other equity - Unquoted shares and other equity / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:47,
2005-10,5239,
2006-01,5349,
2006-04,5439,
2006-07,5776,
2006-10,6202,
2007-01,6397,
2007-04,6733,
2007-07,6981,
2007-10,7168,
2008-01,7168,
2008-04,7332,
2008-07,7014,
2008-10,6828,
2009-01,6841,
2009-04,6895,
2009-07,7010,
2009-10,7152,
2010-01,7521,
2010-04,7933,
2010-07,8161,
2010-10,12000,
2011-01,11686,
2011-04,11470,
2011-07,11155,
2011-10,11178,
2012-01,11432,
2012-04,11615,
2012-07,11804,
2012-10,11784,
2013-01,12125,
2013-04,12603,
2013-07,12608,
2013-10,14150,
2014-01,14575,
2014-04,14716,
2014-07,15058,
