"",BBK01.OEYJ05G,BBK01.OEYJ05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:55,
2002-01,30.638,
2002-04,30.573,
2002-07,29.989,
2002-10,30.693,
2003-01,31.350,
2003-04,30.552,
2003-07,33.078,
2003-10,32.947,
2004-01,33.905,
2004-04,34.839,
2004-07,34.465,
2004-10,34.016,
2005-01,35.330,
2005-04,35.879,
2005-07,40.963,
2005-10,39.995,
2006-01,40.325,
2006-04,40.414,
2006-07,41.063,
2006-10,41.452,
2007-01,41.184,
2007-04,42.121,
2007-07,42.452,
2007-10,43.319,
2008-01,36.360,
2008-04,40.965,
2008-07,45.351,
2008-10,44.984,
2009-01,50.380,
2009-04,63.610,
2009-07,63.456,
2009-10,61.884,
2010-01,60.642,
2010-04,59.838,
2010-07,58.257,
2010-10,57.964,
2011-01,57.050,
2011-04,55.896,
2011-07,55.514,
2011-10,52.714,
2012-01,51.287,
2012-04,37.767,
2012-07,35.497,
2012-10,31.614,
2013-01,30.993,
2013-04,30.014,
2013-07,28.238,
2013-10,26.989,
2014-01,25.865,
2014-04,24.516,
2014-07,23.700,
