"",BBSF2.M.1.T.00000.AKT01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.AKT01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Equity funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:26,
2009-09,2313,
2009-10,2934,
2009-11,2513,
2009-12,4448,
2010-01,2984,
2010-02,3566,
2010-03,4047,
2010-04,9468,
2010-05,18380,
2010-06,4960,
2010-07,2377,
2010-08,2300,
2010-09,2556,
2010-10,3457,
2010-11,4843,
2010-12,5335,
2011-01,4696,
2011-02,4187,
2011-03,4736,
2011-04,5501,
2011-05,7913,
2011-06,5519,
2011-07,6512,
2011-08,4464,
2011-09,2518,
2011-10,2684,
2011-11,3324,
2011-12,3251,
2012-01,5772,
2012-02,2339,
2012-03,2660,
2012-04,4136,
2012-05,6252,
2012-06,2537,
2012-07,2546,
2012-08,3629,
2012-09,2113,
2012-10,2627,
2012-11,3443,
2012-12,5306,
2013-01,3713,
2013-02,2617,
2013-03,4535,
2013-04,3505,
2013-05,5442,
2013-06,2875,
2013-07,4051,
2013-08,3093,
2013-09,2915,
2013-10,3853,
2013-11,4448,
2013-12,5080,
2014-01,3803,
2014-02,3905,
2014-03,3160,
2014-04,7356,
2014-05,3402,
2014-06,3950,
2014-07,3521,
2014-08,3303,
2014-09,2450,
2014-10,4382,
2014-11,8749,
