"",BBK01.OEAF38G,BBK01.OEAF38G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:53,
2002-01,1.646,
2002-04,1.637,
2002-07,1.663,
2002-10,1.631,
2003-01,1.615,
2003-04,1.664,
2003-07,1.630,
2003-10,1.630,
2004-01,1.643,
2004-04,1.648,
2004-07,1.602,
2004-10,1.642,
2005-01,1.516,
2005-04,1.534,
2005-07,1.507,
2005-10,1.541,
2006-01,1.416,
2006-04,1.423,
2006-07,1.472,
2006-10,1.478,
2007-01,1.471,
2007-04,1.428,
2007-07,1.467,
2007-10,1.434,
2008-01,1.444,
2008-04,1.473,
2008-07,1.502,
2008-10,1.482,
2009-01,1.498,
2009-04,1.513,
2009-07,1.516,
2009-10,1.513,
2010-01,1.493,
2010-04,1.499,
2010-07,1.516,
2010-10,1.542,
2011-01,1.549,
2011-04,1.567,
2011-07,1.581,
2011-10,1.609,
2012-01,1.616,
2012-04,1.624,
2012-07,1.628,
2012-10,1.663,
2013-01,1.644,
2013-04,1.642,
2013-07,1.640,
2013-10,1.659,
2014-01,1.645,
2014-04,1.567,
2014-07,1.480,
