"",BBK01.OEAH50Q,BBK01.OEAH50Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:16,
2002-01,0.095,
2002-04,0.096,
2002-07,0.093,
2002-10,0.089,
2003-01,0.088,
2003-04,0.087,
2003-07,0.082,
2003-10,0.085,
2004-01,0.084,
2004-04,0.082,
2004-07,0.082,
2004-10,0.079,
2005-01,0.074,
2005-04,0.070,
2005-07,0.067,
2005-10,0.065,
2006-01,0.068,
2006-04,0.069,
2006-07,0.071,
2006-10,0.074,
2007-01,0.078,
2007-04,0.078,
2007-07,0.084,
2007-10,0.090,
2008-01,0.092,
2008-04,0.095,
2008-07,0.098,
2008-10,0.105,
2009-01,0.098,
2009-04,0.089,
2009-07,0.079,
2009-10,0.067,
2010-01,0.065,
2010-04,0.066,
2010-07,0.070,
2010-10,0.072,
2011-01,0.071,
2011-04,0.076,
2011-07,0.078,
2011-10,0.080,
2012-01,0.071,
2012-04,0.068,
2012-07,0.066,
2012-10,0.060,
2013-01,0.054,
2013-04,0.050,
2013-07,0.046,
2013-10,0.041,
2014-01,0.039,
2014-04,0.039,
2014-07,0.036,
