"",BBSF2.M.1.T.00000.DAC01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAC01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds / Shares / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:19,
2009-09,46,
2009-10,44,
2009-11,48,
2009-12,51,
2010-01,48,
2010-02,50,
2010-03,55,
2010-04,56,
2010-05,57,
2010-06,58,
2010-07,60,
2010-08,62,
2010-09,65,
2010-10,71,
2010-11,69,
2010-12,72,
2011-01,70,
2011-02,73,
2011-03,72,
2011-04,76,
2011-05,72,
2011-06,74,
2011-07,84,
2011-08,60,
2011-09,60,
2011-10,59,
2011-11,56,
2011-12,69,
2012-01,69,
2012-02,81,
2012-03,93,
2012-04,100,
2012-05,91,
2012-06,94,
2012-07,102,
2012-08,104,
2012-09,116,
2012-10,119,
2012-11,121,
2012-12,127,
2013-01,129,
2013-02,129,
2013-03,133,
2013-04,137,
2013-05,138,
2013-06,125,
2013-07,130,
2013-08,126,
2013-09,130,
2013-10,158,
2013-11,161,
2013-12,165,
2014-01,155,
2014-02,157,
2014-03,157,
2014-04,145,
2014-05,154,
2014-06,149,
2014-07,144,
2014-08,121,
2014-09,122,
2014-10,112,
2014-11,112,
