"",BBK01.QUA501,BBK01.QUA501_FLAGS
"","Foreign branches: Claims on non-residents, total / Slovakia / Euro",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:46:03,
2005-12,0.071,
2006-01,0.073,
2006-02,0.069,
2006-03,0.069,
2006-04,0.067,
2006-05,0.102,
2006-06,0.064,
2006-07,0.057,
2006-08,0.058,
2006-09,0.056,
2006-10,0.053,
2006-11,0.057,
2006-12,0.060,
2007-01,0.059,
2007-02,0.065,
2007-03,0.093,
2007-04,0.088,
2007-05,0.085,
2007-06,0.087,
2007-07,0.105,
2007-08,0.101,
2007-09,0.087,
2007-10,0.107,
2007-11,0.111,
2007-12,0.115,
2008-01,0.112,
2008-02,0.115,
2008-03,0.110,
2008-04,0.109,
2008-05,0.102,
2008-06,0.106,
2008-07,0.199,
2008-08,0.197,
2008-09,0.200,
2008-10,0.193,
2008-11,0.196,
2008-12,0.193,
2009-01,0.278,
2009-02,0.443,
2009-03,0.323,
2009-04,0.303,
2009-05,0.278,
2009-06,0.319,
2009-07,0.313,
2009-08,0.311,
2009-09,0.326,
2009-10,0.285,
2009-11,0.299,
2009-12,0.295,
2010-01,0.294,
2010-02,0.303,
2010-03,0.202,
2010-04,0.229,
2010-05,0.244,
2010-06,0.255,
2010-07,0.246,
2010-08,0.251,
2010-09,0.245,
2010-10,0.243,
2010-11,0.239,
2010-12,0.242,
2011-01,0.224,
2011-02,0.236,
2011-03,0.215,
2011-04,0.224,
2011-05,0.223,
2011-06,0.277,
2011-07,0.257,
2011-08,0.264,
2011-09,0.239,
2011-10,0.237,
2011-11,0.436,
2011-12,0.445,
2012-01,0.427,
2012-02,0.412,
2012-03,0.386,
2012-04,0.388,
2012-05,0.384,
2012-06,0.399,
2012-07,0.484,
2012-08,0.359,
2012-09,0.348,
2012-10,0.350,
2012-11,0.324,
2012-12,0.309,
2013-01,0.312,
2013-02,0.306,
2013-03,0.311,
2013-04,0.288,
2013-05,0.275,
2013-06,0.377,
2013-07,0.303,
2013-08,0.301,
2013-09,0.264,
2013-10,0.269,
2013-11,0.244,
2013-12,0.236,
2014-01,0.259,
2014-02,0.264,
2014-03,0.271,
2014-04,0.278,
2014-05,0.261,
2014-06,0.281,
2014-07,0.301,
2014-08,0.285,
2014-09,0.268,
2014-10,0.270,
2014-11,0.268,
