"",BBFN1.M.DE.N.1.A.LY.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LY.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Libya,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:01,
1975-12,0.055,
1976-01,0.052,
1976-02,0.061,
1976-03,0.061,
1976-04,0.074,
1976-05,0.077,
1976-06,0.088,
1976-07,0.028,
1976-08,0.018,
1976-09,0.016,
1976-10,0.014,
1976-11,0.016,
1976-12,0.024,
1977-01,0.011,
1977-02,0.012,
1977-03,0.013,
1977-04,0.012,
1977-05,0.013,
1977-06,0.012,
1977-07,0.011,
1977-08,0.054,
1977-09,0.012,
1977-10,0.023,
1977-11,0.019,
1977-12,0.010,
1978-01,0.007,
1978-02,0.010,
1978-03,0.012,
1978-04,0.012,
1978-05,0.014,
1978-06,0.011,
1978-07,0.012,
1978-08,0.013,
1978-09,0.013,
1978-10,0.014,
1978-11,0.020,
1978-12,0.019,
1979-01,0.022,
1979-02,0.019,
1979-03,0.017,
1979-04,0.010,
1979-05,0.048,
1979-06,0.050,
1979-07,0.049,
1979-08,0.048,
1979-09,0.052,
1979-10,0.055,
1979-11,0.056,
1979-12,0.067,
1980-01,0.091,
1980-02,0.084,
1980-03,0.092,
1980-04,0.091,
1980-05,0.087,
1980-06,0.082,
1980-07,0.084,
1980-08,0.071,
1980-09,0.064,
1980-10,0.090,
1980-11,0.078,
1980-12,0.058,
1981-01,0.082,
1981-02,0.051,
1981-03,0.074,
1981-04,0.072,
1981-05,0.074,
1981-06,0.106,
1981-07,0.098,
1981-08,0.108,
1981-09,0.120,
1981-10,0.070,
1981-11,0.061,
1981-12,0.077,
1982-01,0.089,
1982-02,0.082,
1982-03,0.082,
1982-04,0.090,
1982-05,0.069,
1982-06,0.117,
1982-07,0.091,
1982-08,0.078,
1982-09,0.067,
1982-10,0.075,
1982-11,0.086,
1982-12,0.096,
1983-01,0.070,
1983-02,0.076,
1983-03,0.077,
1983-04,0.122,
1983-05,0.114,
1983-06,0.099,
1983-07,0.133,
1983-08,0.138,
1983-09,0.166,
1983-10,0.135,
1983-11,0.136,
1983-12,0.134,
1984-01,0.131,
1984-02,0.119,
1984-03,0.135,
1984-04,0.120,
1984-05,0.137,
1984-06,0.159,
1984-07,0.154,
1984-08,0.163,
1984-09,0.166,
1984-10,0.179,
1984-11,0.199,
1984-12,0.194,
1985-01,0.218,
1985-02,0.230,
1985-03,0.242,
1985-04,0.247,
1985-05,0.231,
1985-06,0.228,
1985-07,0.243,
1985-08,0.242,
1985-09,0.231,
1985-10,0.241,
1985-11,0.246,
1985-12,0.129,
1986-01,0.135,
1986-02,0.127,
1986-03,0.133,
1986-04,0.153,
1986-05,0.151,
1986-06,0.179,
1986-07,0.178,
1986-08,0.172,
1986-09,0.162,
1986-10,0.147,
