"",BBK01.OEYM10P,BBK01.OEYM10P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:45:29,
2002-01,0.068,
2002-04,0.068,
2002-07,0.067,
2002-10,0.066,
2003-01,0.064,
2003-04,0.062,
2003-07,0.062,
2003-10,0.061,
2004-01,0.059,
2004-04,0.059,
2004-07,0.058,
2004-10,0.056,
2005-01,0.041,
2005-04,0.040,
2005-07,0.039,
2005-10,0.038,
2006-01,0.038,
2006-04,0.037,
2006-07,0.037,
2006-10,0.037,
2007-01,0.036,
2007-04,0.035,
2007-07,0.035,
2007-10,0.035,
2008-01,0.034,
2008-04,0.032,
2008-07,0.032,
2008-10,0.032,
2009-01,0.031,
2009-04,0.030,
2009-07,0.028,
2009-10,0.031,
2010-01,0.030,
2010-04,0.030,
2010-07,0.028,
2010-10,0.026,
2011-01,0.025,
2011-04,0.022,
2011-07,0.022,
2011-10,0.020,
2012-01,0.019,
2012-04,0.017,
2012-07,0.016,
2012-10,0.015,
2013-01,0.014,
2013-04,0.012,
2013-07,0.012,
2013-10,0.010,
2014-01,0.009,
2014-04,0.012,
2014-07,0.011,
