"",BBFB1.Q.N.DE.DK.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:18,
1991-01,8.596,
1991-04,8.795,
1991-07,12.983,
1991-10,12.983,
1992-01,-17.695,
1992-04,-12.615,
1992-07,-14.404,
1992-10,-16.479,
1993-01,4.684,
1993-04,7.824,
1993-07,7.824,
1993-10,7.824,
1994-01,-29.991,
1994-04,-13.397,
1994-07,-13.323,
1994-10,-13.323,
1995-01,-18.412,
1995-04,-6.782,
1995-07,-4.970,
1995-10,-5.261,
1996-01,-6.870,
1996-04,-8.444,
1996-07,-5.303,
1996-10,-5.303,
1997-01,-164.345,
1997-04,-153.388,
1997-07,-153.388,
1997-10,-154.584,
1998-01,-63.983,
1998-04,-63.911,
1998-07,-64.090,
1998-10,-63.911,
1999-01,-30.026,
1999-04,-30.000,
1999-07,-33.000,
1999-10,-46.104,
2000-01,-9.000,
2000-04,-9.000,
2000-07,-10.355,
2000-10,-25.532,
2001-01,-209.270,
2001-04,-277.059,
2001-07,-263.059,
2001-10,-205.270,
2002-01,-96.323,
2002-04,-110.340,
2002-07,-117.132,
2002-10,-122.570,
2003-01,80.924,
2003-04,87.134,
2003-07,109.500,
2003-10,120.886,
2004-01,162.476,
2004-04,149.694,
2004-07,180.831,
2004-10,182.793,
2005-01,20.800,
2005-04,-0.680,
2005-07,-45.279,
2005-10,-26.840,
2006-01,-19.381,
2006-04,-87.029,
2006-07,-155.326,
2006-10,-33.265,
2007-01,167.471,
2007-04,75.339,
2007-07,34.081,
2007-10,70.687,
2008-01,-436.243,
2008-04,185.419,
2008-07,387.660,
2008-10,-48.962,
2009-01,-61.494,
2009-04,-35.496,
2009-07,-79.501,
2009-10,71.493,
2010-01,73.270,
2010-04,102.955,
2010-07,1.336,
2010-10,161.468,
2011-01,-8.873,
2011-04,10.189,
2011-07,42.272,
2011-10,6.414,
2012-01,45.566,
2012-04,-9.590,
2012-07,48.911,
2012-10,42.089,
2013-01,17.494,
2013-04,-5.179,
2013-07,41.330,
2013-10,26.860,
2014-01,17.772,Provisional value
2014-04,-15.822,Provisional value
2014-07,28.993,Provisional value
2014-10,32.198,Provisional value
