"",BBK01.OEAH72G,BBK01.OEAH72G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:32,
2002-01,1.759,
2002-04,1.889,
2002-07,1.891,
2002-10,2.412,
2003-01,2.415,
2003-04,3.377,
2003-07,2.286,
2003-10,2.611,
2004-01,2.328,
2004-04,3.565,
2004-07,3.032,
2004-10,2.578,
2005-01,2.632,
2005-04,3.212,
2005-07,2.724,
2005-10,2.793,
2006-01,2.951,
2006-04,3.859,
2006-07,3.102,
2006-10,5.721,
2007-01,3.571,
2007-04,4.886,
2007-07,4.107,
2007-10,4.826,
2008-01,3.673,
2008-04,4.351,
2008-07,4.440,
2008-10,6.518,
2009-01,6.807,
2009-04,6.592,
2009-07,7.661,
2009-10,7.808,
2010-01,7.384,
2010-04,7.268,
2010-07,7.259,
2010-10,7.609,
2011-01,6.298,
2011-04,6.936,
2011-07,6.738,
2011-10,6.116,
2012-01,6.346,
2012-04,8.686,
2012-07,8.990,
2012-10,7.883,
2013-01,7.118,
2013-04,9.936,
2013-07,8.810,
2013-10,8.574,
2014-01,8.222,
2014-04,10.181,
2014-07,7.468,
