"",BBFB1.Q.N.DE.W1.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.W1.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:26:58,
1991-01,11711.529,
1991-04,13136.580,
1991-07,13946.305,
1991-10,13459.466,
1992-01,12410.846,
1992-04,13148.479,
1992-07,13385.168,
1992-10,13952.125,
1993-01,12315.660,
1993-04,13034.386,
1993-07,13896.190,
1993-10,13708.040,
1994-01,13042.639,
1994-04,13026.546,
1994-07,13828.942,
1994-10,13477.594,
1995-01,13748.124,
1995-04,13517.187,
1995-07,14628.334,
1995-10,15365.950,
1996-01,13624.766,
1996-04,14544.155,
1996-07,15328.662,
1996-10,16330.708,
1997-01,15365.558,
1997-04,17347.096,
1997-07,18652.430,
1997-10,19020.950,
1998-01,17813.750,
1998-04,18392.430,
1998-07,19765.303,
1998-10,19331.523,
1999-01,16993.910,
1999-04,19280.463,
1999-07,20703.331,
1999-10,21625.648,
2000-01,20440.244,
2000-04,22110.529,
2000-07,22738.999,
2000-10,25006.864,
2001-01,21312.317,
2001-04,23276.703,
2001-07,23833.154,
2001-10,27086.219,
2002-01,24120.862,
2002-04,26348.460,
2002-07,27702.983,
2002-10,29633.191,
2003-01,23440.308,
2003-04,25360.005,
2003-07,25909.030,
2003-10,29157.128,
2004-01,26394.102,
2004-04,29268.711,
2004-07,30127.215,
2004-10,32988.664,
2005-01,28866.967,
2005-04,30770.019,
2005-07,32674.042,
2005-10,36025.437,
2006-01,31840.706,
2006-04,35625.179,
2006-07,36367.386,
2006-10,40349.693,
2007-01,33998.440,
2007-04,37441.544,
2007-07,39058.524,
2007-10,41567.817,
2008-01,37559.562,
2008-04,40239.657,
2008-07,41497.088,
2008-10,44728.461,
2009-01,37141.011,
2009-04,38859.475,
2009-07,39370.489,
2009-10,42501.817,
2010-01,37799.932,
2010-04,41933.583,
2010-07,43568.122,
2010-10,46594.209,
2011-01,40958.414,
2011-04,42653.130,
2011-07,44952.257,
2011-10,49851.945,
2012-01,43124.509,
2012-04,45938.142,
2012-07,47990.695,
2012-10,50215.811,
2013-01,44375.578,
2013-04,48009.675,
2013-07,50539.527,
2013-10,53462.375,
2014-01,47434.942,Provisional value
2014-04,50579.277,Provisional value
2014-07,52152.983,Provisional value
