"",BBK01.OEAH37M,BBK01.OEAH37M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:50,
2002-01,0.016,
2002-04,0.015,
2002-07,0.018,
2002-10,0.017,
2003-01,0.018,
2003-04,0.015,
2003-07,0.014,
2003-10,0.018,
2004-01,0.016,
2004-04,0.021,
2004-07,0.019,
2004-10,0.039,
2005-01,0.040,
2005-04,0.041,
2005-07,0.043,
2005-10,0.042,
2006-01,0.049,
2006-04,0.048,
2006-07,0.050,
2006-10,0.053,
2007-01,0.085,
2007-04,0.104,
2007-07,0.107,
2007-10,0.108,
2008-01,0.090,
2008-04,0.092,
2008-07,0.100,
2008-10,0.112,
2009-01,0.120,
2009-04,0.107,
2009-07,0.110,
2009-10,0.093,
2010-01,0.099,
2010-04,0.121,
2010-07,0.119,
2010-10,0.140,
2011-01,0.200,
2011-04,0.187,
2011-07,0.184,
2011-10,0.200,
2012-01,0.231,
2012-04,0.246,
2012-07,0.253,
2012-10,0.273,
2013-01,0.205,
2013-04,0.190,
2013-07,0.192,
2013-10,0.245,
2014-01,0.219,
2014-04,0.203,
2014-07,0.182,
