"",BBK01.OEXI08K,BBK01.OEXI08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:14,
2002-01,1.355,
2002-04,1.333,
2002-07,1.327,
2002-10,1.424,
2003-01,1.540,
2003-04,1.550,
2003-07,1.538,
2003-10,1.546,
2004-01,1.552,
2004-04,1.535,
2004-07,1.486,
2004-10,0.975,
2005-01,0.988,
2005-04,0.998,
2005-07,0.998,
2005-10,1.034,
2006-01,1.047,
2006-04,1.047,
2006-07,1.011,
2006-10,1.044,
2007-01,1.077,
2007-04,1.078,
2007-07,1.064,
2007-10,1.095,
2008-01,1.168,
2008-04,1.132,
2008-07,1.125,
2008-10,1.205,
2009-01,1.191,
2009-04,1.203,
2009-07,1.270,
2009-10,1.398,
2010-01,1.429,
2010-04,1.406,
2010-07,1.451,
2010-10,1.563,
2011-01,1.561,
2011-04,1.448,
2011-07,1.395,
2011-10,1.402,
2012-01,1.414,
2012-04,1.451,
2012-07,1.535,
2012-10,1.629,
2013-01,1.651,
2013-04,1.675,
2013-07,1.685,
2013-10,1.704,
2014-01,1.695,
2014-04,1.693,
2014-07,1.686,
