"",BBK01.OEYB20Q,BBK01.OEYB20Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:13,
2002-01,12.760,
2002-04,12.740,
2002-07,11.594,
2002-10,11.569,
2003-01,11.508,
2003-04,16.299,
2003-07,16.040,
2003-10,15.795,
2004-01,15.386,
2004-04,13.224,
2004-07,12.913,
2004-10,12.819,
2005-01,12.392,
2005-04,12.277,
2005-07,12.054,
2005-10,11.965,
2006-01,11.911,
2006-04,14.618,
2006-07,11.680,
2006-10,11.529,
2007-01,12.146,
2007-04,10.922,
2007-07,4.943,
2007-10,4.889,
2008-01,4.812,
2008-04,4.741,
2008-07,4.712,
2008-10,4.678,
2009-01,4.587,
2009-04,4.497,
2009-07,4.442,
2009-10,4.534,
2010-01,4.478,
2010-04,4.443,
2010-07,3.963,
2010-10,3.896,
2011-01,3.907,
2011-04,3.903,
2011-07,4.059,
2011-10,3.810,
2012-01,3.736,
2012-04,3.733,
2012-07,3.733,
2012-10,3.699,
2013-01,3.631,
2013-04,3.618,
2013-07,3.661,
2013-10,3.655,
2014-01,3.749,
2014-04,3.774,
2014-07,3.770,
