"",BBFB1.Q.N.DE.S19800.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.S19800.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:43,
1991-01,606.129,
1991-04,26.145,
1991-07,-269.515,
1991-10,891.350,
1992-01,-91.555,
1992-04,168.962,
1992-07,542.847,
1992-10,1337.014,
1993-01,-637.867,
1993-04,364.629,
1993-07,1028.686,
1993-10,2618.695,
1994-01,-736.679,
1994-04,722.160,
1994-07,193.431,
1994-10,282.717,
1995-01,2654.646,
1995-04,210.536,
1995-07,1326.173,
1995-10,835.434,
1996-01,2014.164,
1996-04,2377.015,
1996-07,-1689.035,
1996-10,1336.054,
1997-01,2236.022,
1997-04,2780.465,
1997-07,-785.382,
1997-10,-2877.189,
1998-01,-3985.787,
1998-04,-944.822,
1998-07,-2337.115,
1998-10,264.668,
1999-01,-449.219,
1999-04,-131.747,
1999-07,2159.924,
1999-10,3186.468,
2000-01,234.684,
2000-04,-1093.678,
2000-07,2767.163,
2000-10,-744.434,
2001-01,1583.353,
2001-04,-43.475,
2001-07,-1036.297,
2001-10,1562.817,
2002-01,799.166,
2002-04,-213.272,
2002-07,3549.767,
2002-10,-906.946,
2003-01,-1366.651,
2003-04,1921.300,
2003-07,-1210.779,
2003-10,-2494.577,
2004-01,3330.191,
2004-04,-1722.602,
2004-07,-2769.424,
2004-10,1881.042,
2005-01,990.294,
2005-04,5312.256,
2005-07,-4390.204,
2005-10,-855.071,
2006-01,-1304.839,
2006-04,7983.383,
2006-07,547.722,
2006-10,-1932.005,
2007-01,3938.258,
2007-04,59.155,
2007-07,6738.749,
2007-10,407.941,
2008-01,4312.872,
2008-04,4132.291,
2008-07,4745.290,
2008-10,-5641.634,
2009-01,-4787.158,
2009-04,-2424.935,
2009-07,619.874,
2009-10,-3559.702,
2010-01,313.773,
2010-04,560.214,
2010-07,-953.928,
2010-10,2572.722,
2011-01,-2368.054,
2011-04,-1699.997,
2011-07,-4642.347,
2011-10,1320.861,
2012-01,-2379.419,
2012-04,-2394.212,
2012-07,-3395.807,
2012-10,-928.761,
2013-01,5259.210,
2013-04,-1264.145,
2013-07,-1137.984,
2013-10,5204.060,
2014-01,-382.118,Provisional value
2014-04,2919.050,Provisional value
2014-07,1164.291,Provisional value
2014-10,-10900.608,Provisional value
