"",BBK01.CEL503,BBK01.CEL503_FLAGS
"",Equity and investment fund shares                                                     debtor: Total            creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:22,
1999-01,26.5,
1999-04,0.9,
1999-07,7.6,
1999-10,23.8,
2000-01,49.3,
2000-04,-42.7,
2000-07,3.8,
2000-10,25.3,
2001-01,36.3,
2001-04,-24.1,
2001-07,-12.0,
2001-10,8.0,
2002-01,-11.6,
2002-04,-6.3,
2002-07,5.6,
2002-10,18.3,
2003-01,-13.2,
2003-04,7.4,
2003-07,-1.5,
2003-10,-1.3,
2004-01,5.4,
2004-04,-6.4,
2004-07,-11.1,
2004-10,15.1,
2005-01,6.8,
2005-04,4.2,
2005-07,13.9,
2005-10,13.2,
2006-01,18.7,
2006-04,-11.7,
2006-07,26.8,
2006-10,26.1,
2007-01,-30.2,
2007-04,-7.3,
2007-07,-5.2,
2007-10,-1.8,
2008-01,-4.8,
2008-04,-17.4,
2008-07,-8.4,
2008-10,-7.3,
2009-01,17.6,
2009-04,-8.5,
2009-07,0.1,
2009-10,-12.1,
2010-01,1.6,
2010-04,-9.3,
2010-07,-7.5,
2010-10,-9.7,
2011-01,7.3,
2011-04,-3.6,
2011-07,-26.3,
2011-10,-0.5,
2012-01,-6.2,
2012-04,-6.6,
2012-07,5.9,
2012-10,21.7,
2013-01,6.5,
2013-04,-2.8,
2013-07,1.7,
2013-10,-15.3,
2014-01,6.6,
2014-04,5.3,
2014-07,5.7,
