"",BBK01.PC3672,BBK01.PC3672_FLAGS
"",Other loans to domestic employees  and other individuals / Short-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:26:50,
1985-10,0.634,
1986-01,0.704,
1986-04,0.736,
1986-07,0.724,
1986-10,0.777,
1987-01,0.778,
1987-04,0.775,
1987-07,0.851,
1987-10,0.811,
1988-01,0.795,
1988-04,0.798,
1988-07,0.793,
1988-10,0.760,
1989-01,0.777,
1989-04,0.805,
1989-07,0.837,
1989-10,0.966,
1990-01,0.994,
1990-04,1.061,
1990-07,1.085,
1990-10,1.179,
1991-01,1.191,
1991-04,1.219,
1991-07,1.318,
1991-10,1.295,
1992-01,1.351,
1992-04,1.352,
1992-07,1.376,
1992-10,1.756,
1993-01,1.674,
1993-04,1.768,
1993-07,1.759,
1993-10,1.714,
1994-01,1.710,
1994-04,1.739,
1994-07,1.803,
1994-10,1.841,
1995-01,1.822,
1995-04,1.873,
1995-07,1.960,
1995-10,1.998,
1996-01,1.949,
1996-04,1.951,
1996-07,2.033,
1996-10,2.058,
1997-01,2.034,
1997-04,2.125,
1997-07,2.217,
1997-10,2.227,
1998-01,2.187,
1998-04,2.507,
1998-07,2.615,
1998-10,2.670,
1999-01,2.619,
1999-04,2.631,
1999-07,2.755,
1999-10,2.858,
2000-01,2.877,
2000-04,2.941,
2000-07,3.075,
2000-10,3.037,
2001-01,3.053,
2001-04,3.111,
2001-07,3.186,
2001-10,3.169,
2002-01,3.195,
2002-04,3.390,
2002-07,3.883,
2002-10,3.948,
2003-01,3.976,
2003-04,4.045,
2003-07,4.216,
2003-10,4.273,
2004-01,4.295,
2004-04,4.310,
2004-07,4.684,
2004-10,4.400,
2005-01,4.576,
2005-04,4.971,
2005-07,5.172,
2005-10,6.153,
2006-01,6.391,
2006-04,6.435,
2006-07,6.497,
2006-10,6.514,
2007-01,6.364,
2007-04,6.396,
2007-07,7.024,
2007-10,7.188,
2008-01,7.055,
2008-04,7.023,
2008-07,7.240,
2008-10,7.283,
2009-01,7.766,
2009-04,7.695,
2009-07,7.805,
2009-10,7.749,
2010-01,6.913,
2010-04,8.722,
2010-07,7.910,
2010-10,7.910,
2011-01,7.917,
2011-04,8.044,
2011-07,8.194,
2011-10,8.848,
2012-01,9.000,
2012-04,9.029,
2012-07,8.963,
2012-10,9.140,
2013-01,8.083,
2013-04,8.046,
2013-07,8.210,
2013-10,8.011,
2014-01,8.132,
2014-04,8.204,
2014-07,8.364,
2014-10,7.995,
