"",BBK01.OEXO02T,BBK01.OEXO02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:47,
2002-01,0.177,
2002-04,0.157,
2002-07,0.155,
2002-10,0.131,
2003-01,0.185,
2003-04,0.124,
2003-07,0.130,
2003-10,0.145,
2004-01,0.144,
2004-04,0.108,
2004-07,0.105,
2004-10,0.099,
2005-01,0.129,
2005-04,0.105,
2005-07,0.106,
2005-10,0.115,
2006-01,0.156,
2006-04,0.130,
2006-07,0.125,
2006-10,0.152,
2007-01,0.275,
2007-04,0.174,
2007-07,0.182,
2007-10,0.216,
2008-01,0.229,
2008-04,0.201,
2008-07,0.202,
2008-10,0.380,
2009-01,0.198,
2009-04,0.166,
2009-07,0.166,
2009-10,0.157,
2010-01,0.152,
2010-04,0.103,
2010-07,0.118,
2010-10,0.208,
2011-01,0.215,
2011-04,0.133,
2011-07,0.117,
2011-10,0.134,
2012-01,0.134,
2012-04,0.113,
2012-07,0.126,
2012-10,0.105,
2013-01,0.106,
2013-04,0.087,
2013-07,0.084,
2013-10,0.083,
2014-01,0.092,
2014-04,0.069,
2014-07,0.125,
