"",BBFN1.M.DE.N.1.L.SG.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.SG.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Singapore,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:14,
1994-07,0.354,
1994-08,0.422,
1994-09,0.450,
1994-10,0.548,
1994-11,0.482,
1994-12,0.527,
1995-01,0.470,
1995-02,0.458,
1995-03,0.501,
1995-04,0.512,
1995-05,0.486,
1995-06,0.510,
1995-07,0.560,
1995-08,0.590,
1995-09,0.502,
1995-10,0.585,
1995-11,0.656,
1995-12,0.747,
1996-01,0.816,
1996-02,0.811,
1996-03,0.535,
1996-04,0.629,
1996-05,0.658,
1996-06,0.668,
1996-07,0.654,
1996-08,0.724,
1996-09,0.514,
1996-10,0.523,
1996-11,0.607,
1996-12,0.535,
1997-01,0.506,
1997-02,0.467,
1997-03,0.542,
1997-04,0.559,
1997-05,0.546,
1997-06,0.588,
1997-07,0.618,
1997-08,0.617,
1997-09,0.618,
1997-10,0.665,
1997-11,0.727,
1997-12,0.755,
1998-01,0.741,
1998-02,0.676,
1998-03,0.722,
1998-04,0.834,
1998-05,0.783,
1998-06,0.767,
1998-07,0.710,
1998-08,0.413,
1998-09,0.441,
1998-10,0.461,
1998-11,0.481,
1998-12,0.435,
1999-01,0.414,
1999-02,0.387,
1999-03,0.389,
1999-04,0.386,
1999-05,0.405,
1999-06,0.372,
1999-07,0.373,
1999-08,0.391,
1999-09,0.398,
1999-10,0.374,
1999-11,0.484,
1999-12,0.491,
2000-01,0.549,
2000-02,0.504,
2000-03,0.555,
2000-04,0.577,
2000-05,0.604,
2000-06,0.635,
2000-07,0.619,
2000-08,0.662,
2000-09,0.771,
2000-10,0.768,
2000-11,0.770,
2000-12,0.845,
2001-01,0.779,
2001-02,0.796,
2001-03,0.806,
2001-04,0.881,
2001-05,0.800,
2001-06,0.790,
2001-07,0.714,
2001-08,0.802,
2001-09,0.811,
2001-10,0.831,
2001-11,0.815,
2001-12,0.842,
2002-01,0.804,
2002-02,0.815,
2002-03,0.898,
2002-04,0.678,
2002-05,0.764,
2002-06,0.840,
2002-07,0.803,
2002-08,0.791,
2002-09,0.854,
2002-10,0.814,
2002-11,0.823,
2002-12,0.846,
2003-01,0.787,
2003-02,0.521,
2003-03,0.572,
2003-04,0.537,
2003-05,0.505,
2003-06,0.487,
2003-07,0.431,
2003-08,0.464,
2003-09,0.549,
2003-10,0.496,
2003-11,0.567,
2003-12,0.613,
2004-01,0.422,
2004-02,0.440,
2004-03,0.592,
2004-04,0.574,
2004-05,0.610,
2004-06,0.772,
2004-07,0.793,
2004-08,0.492,
2004-09,0.658,
2004-10,0.613,
2004-11,0.691,
2004-12,0.708,
2005-01,0.545,
2005-02,0.593,
2005-03,0.688,
2005-04,0.683,
2005-05,0.720,
2005-06,0.652,
2005-07,0.637,
2005-08,0.652,
2005-09,0.677,
2005-10,0.643,
2005-11,0.679,
2005-12,0.763,
2006-01,0.718,
2006-02,0.693,
2006-03,0.797,
2006-04,0.742,
2006-05,0.846,
2006-06,0.901,
2006-07,0.774,
2006-08,0.801,
2006-09,0.845,
2006-10,0.808,
2006-11,0.777,
2006-12,0.756,
2007-01,0.756,
2007-02,0.755,
2007-03,0.801,
2007-04,0.763,
2007-05,0.791,
2007-06,0.900,
2007-07,0.838,
2007-08,0.883,
2007-09,0.946,
2007-10,0.882,
2007-11,0.941,
2007-12,1.035,
2008-01,0.936,
2008-02,0.949,
2008-03,1.067,
2008-04,1.067,
2008-05,1.046,
2008-06,1.126,
2008-07,1.115,
2008-08,1.185,
2008-09,1.230,
2008-10,1.327,
2008-11,1.229,
2008-12,1.255,
2009-01,1.137,
2009-02,1.121,
2009-03,1.155,
2009-04,1.110,
2009-05,1.166,
2009-06,1.208,
2009-07,1.232,
2009-08,1.223,
2009-09,1.284,
2009-10,1.277,
2009-11,1.284,
2009-12,1.348,
2010-01,1.308,
2010-02,1.297,
2010-03,1.323,
2010-04,1.427,
2010-05,1.430,
2010-06,1.551,
2010-07,1.547,
2010-08,1.383,
2010-09,1.531,
2010-10,1.573,
2010-11,1.530,
2010-12,1.676,
2011-01,1.530,
2011-02,1.449,
2011-03,1.602,
2011-04,1.539,
2011-05,1.568,
2011-06,1.627,
2011-07,1.667,
2011-08,1.665,
2011-09,1.740,
2011-10,1.541,
2011-11,1.592,
2011-12,1.624,
2012-01,1.564,
2012-02,1.503,
2012-03,1.651,
2012-04,1.583,
2012-05,1.630,
2012-06,1.697,
2012-07,1.652,
2012-08,1.743,
2012-09,1.936,
2012-10,1.762,
2012-11,1.989,
2012-12,2.039,
2013-01,1.991,
2013-02,2.029,
2013-03,2.179,
2013-04,2.001,
2013-05,1.929,
2013-06,2.004,
2013-07,1.986,
2013-08,2.046,
2013-09,2.108,
2013-10,2.064,
2013-11,2.043,
2013-12,2.262,
2014-01,2.112,
2014-02,2.072,
2014-03,2.193,
2014-04,2.163,
2014-05,2.228,
2014-06,2.377,
2014-07,2.379,
2014-08,2.358,
2014-09,2.392,
2014-10,2.434,
2014-11,2.384,
2014-12,2.578,
