"",BBK01.OXA8Y7,BBK01.OXA8Y7_FLAGS
"",Transferable deposits of domestic non-banks (non-MFIs) Overnight deposits - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:15,
2010-06,596.559,
2010-07,585.220,
2010-08,594.477,
2010-09,593.470,
2010-10,594.659,
2010-11,615.270,
2010-12,623.272,
2011-01,607.357,
2011-02,598.212,
2011-03,594.694,
2011-04,584.373,
2011-05,585.174,
2011-06,582.019,
2011-07,577.917,
2011-08,577.953,
2011-09,576.722,
2011-10,585.495,
2011-11,600.902,
2011-12,604.735,
2012-01,596.573,
2012-02,599.532,
2012-03,597.753,
2012-04,610.275,
2012-05,618.352,
2012-06,628.825,
2012-07,638.154,
2012-08,645.843,
2012-09,654.691,
2012-10,666.121,
2012-11,687.725,
2012-12,697.206,
2013-01,680.979,
2013-02,689.532,
2013-03,685.430,
2013-04,693.228,
2013-05,703.058,
2013-06,708.069,
2013-07,709.211,
2013-08,718.578,
2013-09,726.574,
2013-10,733.922,
2013-11,755.302,
2013-12,759.174,
2014-01,746.052,
2014-02,751.689,
2014-03,742.076,
2014-04,752.926,
2014-05,762.546,
2014-06,766.982,
2014-07,772.121,
2014-08,788.093,
2014-09,797.936,
2014-10,814.274,
2014-11,837.289,
2014-12,845.691,Provisional value
