"",BBK01.OEAH08R,BBK01.OEAH08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:35,
2002-01,1.230,
2002-04,1.274,
2002-07,1.287,
2002-10,1.311,
2003-01,1.276,
2003-04,1.257,
2003-07,1.212,
2003-10,1.207,
2004-01,1.198,
2004-04,1.189,
2004-07,1.186,
2004-10,1.177,
2005-01,1.176,
2005-04,1.160,
2005-07,1.139,
2005-10,1.139,
2006-01,1.144,
2006-04,1.162,
2006-07,1.183,
2006-10,1.249,
2007-01,1.292,
2007-04,1.324,
2007-07,1.355,
2007-10,1.383,
2008-01,1.351,
2008-04,1.349,
2008-07,1.362,
2008-10,1.389,
2009-01,1.317,
2009-04,1.187,
2009-07,1.070,
2009-10,1.006,
2010-01,0.986,
2010-04,0.985,
2010-07,0.988,
2010-10,0.962,
2011-01,0.966,
2011-04,1.006,
2011-07,1.010,
2011-10,1.046,
2012-01,1.029,
2012-04,1.006,
2012-07,0.958,
2012-10,0.901,
2013-01,0.850,
2013-04,0.843,
2013-07,0.842,
2013-10,0.849,
2014-01,0.852,
2014-04,0.856,
2014-07,1.052,
