"",BBSF2.M.1.T.00000.TOT01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.TOT01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Funds total / Funds total / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:10,
2009-09,3559,
2009-10,3738,
2009-11,3589,
2009-12,2374,
2010-01,4043,
2010-02,3256,
2010-03,2506,
2010-04,2717,
2010-05,2448,
2010-06,2638,
2010-07,2578,
2010-08,2587,
2010-09,2273,
2010-10,2213,
2010-11,2410,
2010-12,2354,
2011-01,1786,
2011-02,2126,
2011-03,2195,
2011-04,2642,
2011-05,2535,
2011-06,2538,
2011-07,2586,
2011-08,3217,
2011-09,4002,
2011-10,3916,
2011-11,3392,
2011-12,4004,
2012-01,3742,
2012-02,3925,
2012-03,3786,
2012-04,4347,
2012-05,4061,
2012-06,4119,
2012-07,3749,
2012-08,3980,
2012-09,3868,
2012-10,3936,
2012-11,3418,
2012-12,3543,
2013-01,3271,
2013-02,3324,
2013-03,3652,
2013-04,4112,
2013-05,4165,
2013-06,4739,
2013-07,4850,
2013-08,4783,
2013-09,4495,
2013-10,4600,
2013-11,3686,
2013-12,3238,
2014-01,3383,
2014-02,5375,
2014-03,5251,
2014-04,5133,
2014-05,5491,
2014-06,5457,
2014-07,5744,
2014-08,4171,
2014-09,3853,
2014-10,2903,
2014-11,2883,
