"",BBFN1.M.DE.N.1.L.IN.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.IN.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / India,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:54,
1994-07,0.093,
1994-08,0.092,
1994-09,0.088,
1994-10,0.086,
1994-11,0.085,
1994-12,0.096,
1995-01,0.098,
1995-02,0.102,
1995-03,0.108,
1995-04,0.108,
1995-05,0.107,
1995-06,0.112,
1995-07,0.114,
1995-08,0.111,
1995-09,0.115,
1995-10,0.115,
1995-11,0.108,
1995-12,0.103,
1996-01,0.097,
1996-02,0.105,
1996-03,0.111,
1996-04,0.115,
1996-05,0.109,
1996-06,0.108,
1996-07,0.104,
1996-08,0.110,
1996-09,0.121,
1996-10,0.120,
1996-11,0.104,
1996-12,0.127,
1997-01,0.121,
1997-02,0.131,
1997-03,0.117,
1997-04,0.125,
1997-05,0.103,
1997-06,0.107,
1997-07,0.105,
1997-08,0.109,
1997-09,0.121,
1997-10,0.116,
1997-11,0.114,
1997-12,0.123,
1998-01,0.110,
1998-02,0.114,
1998-03,0.127,
1998-04,0.140,
1998-05,0.133,
1998-06,0.135,
1998-07,0.145,
1998-08,0.134,
1998-09,0.146,
1998-10,0.137,
1998-11,0.135,
1998-12,0.147,
1999-01,0.143,
1999-02,0.165,
1999-03,0.153,
1999-04,0.162,
1999-05,0.147,
1999-06,0.154,
1999-07,0.156,
1999-08,0.158,
1999-09,0.155,
1999-10,0.164,
1999-11,0.144,
1999-12,0.155,
2000-01,0.175,
2000-02,0.164,
2000-03,0.179,
2000-04,0.134,
2000-05,0.127,
2000-06,0.135,
2000-07,0.135,
2000-08,0.136,
2000-09,0.141,
2000-10,0.147,
2000-11,0.163,
2000-12,0.158,
2001-01,0.148,
2001-02,0.158,
2001-03,0.174,
2001-04,0.154,
2001-05,0.163,
2001-06,0.163,
2001-07,0.155,
2001-08,0.151,
2001-09,0.166,
2001-10,0.149,
2001-11,0.136,
2001-12,0.171,
2002-01,0.155,
2002-02,0.165,
2002-03,0.157,
2002-04,0.163,
2002-05,0.158,
2002-06,0.183,
2002-07,0.184,
2002-08,0.188,
2002-09,0.193,
2002-10,0.206,
2002-11,0.198,
2002-12,0.231,
2003-01,0.213,
2003-02,0.223,
2003-03,0.229,
2003-04,0.224,
2003-05,0.188,
2003-06,0.199,
2003-07,0.206,
2003-08,0.194,
2003-09,0.198,
2003-10,0.193,
2003-11,0.188,
2003-12,0.185,
2004-01,0.168,
2004-02,0.178,
2004-03,0.162,
2004-04,0.181,
2004-05,0.179,
2004-06,0.184,
2004-07,0.180,
2004-08,0.187,
2004-09,0.165,
2004-10,0.153,
2004-11,0.153,
2004-12,0.175,
2005-01,0.148,
2005-02,0.172,
2005-03,0.185,
2005-04,0.147,
2005-05,0.163,
2005-06,0.169,
2005-07,0.163,
2005-08,0.171,
2005-09,0.178,
2005-10,0.166,
2005-11,0.186,
2005-12,0.208,
2006-01,0.178,
2006-02,0.216,
2006-03,0.197,
2006-04,0.206,
2006-05,0.197,
2006-06,0.196,
2006-07,0.201,
2006-08,0.204,
2006-09,0.208,
2006-10,0.210,
2006-11,0.227,
2006-12,0.278,
2007-01,0.215,
2007-02,0.236,
2007-03,0.233,
2007-04,0.216,
2007-05,0.255,
2007-06,0.256,
2007-07,0.231,
2007-08,0.262,
2007-09,0.279,
2007-10,0.266,
2007-11,0.271,
2007-12,0.322,
2008-01,0.274,
2008-02,0.290,
2008-03,0.295,
2008-04,0.277,
2008-05,0.282,
2008-06,0.325,
2008-07,0.288,
2008-08,0.297,
2008-09,0.333,
2008-10,0.325,
2008-11,0.322,
2008-12,0.375,
2009-01,0.328,
2009-02,0.318,
2009-03,0.335,
2009-04,0.304,
2009-05,0.306,
2009-06,0.323,
2009-07,0.308,
2009-08,0.302,
2009-09,0.314,
2009-10,0.297,
2009-11,0.317,
2009-12,0.362,
2010-01,0.321,
2010-02,0.332,
2010-03,0.385,
2010-04,0.378,
2010-05,0.428,
2010-06,0.416,
2010-07,0.406,
2010-08,0.418,
2010-09,0.385,
2010-10,0.389,
2010-11,0.387,
2010-12,0.459,
2011-01,0.409,
2011-02,0.411,
2011-03,0.437,
2011-04,0.412,
2011-05,0.418,
2011-06,0.475,
2011-07,0.437,
2011-08,0.423,
2011-09,0.465,
2011-10,0.430,
2011-11,0.432,
2011-12,0.513,
2012-01,0.472,
2012-02,0.472,
2012-03,0.497,
2012-04,0.460,
2012-05,0.481,
2012-06,0.499,
2012-07,0.521,
2012-08,0.494,
2012-09,0.483,
2012-10,0.506,
2012-11,0.489,
2012-12,0.613,
2013-01,0.492,
2013-02,0.497,
2013-03,0.557,
2013-04,0.527,
2013-05,0.524,
2013-06,0.528,
2013-07,0.494,
2013-08,0.555,
2013-09,0.595,
2013-10,0.606,
2013-11,0.574,
2013-12,0.665,
2014-01,0.530,
2014-02,0.591,
2014-03,0.599,
2014-04,0.607,
2014-05,0.586,
2014-06,0.585,
2014-07,0.569,
2014-08,0.555,
2014-09,0.618,
2014-10,0.568,
2014-11,0.604,
2014-12,0.694,
