"",BBEX3.M.ZMK.USD.CA.AA.A01,BBEX3.M.ZMK.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Zambia  / USD 1 = ZMK ... (buying),
unit,ZMK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:30,
1978-01,0.75713,
1978-02,0.75056,
1978-03,0.82720,comment
1978-04,0.83467,
1978-05,0.83926,
1978-06,0.82574,
1978-07,0.81366,
1978-08,0.81111,
1978-09,0.79753,
1978-10,0.75715,
1978-11,0.80423,
1978-12,0.78423,
1979-01,0.79386,
1979-02,0.79207,
1979-03,0.79419,
1979-04,0.80100,
1979-05,0.80751,
1979-06,0.79068,
1979-07,0.78213,
1979-08,0.78644,
1979-09,0.77587,
1979-10,0.79527,
1979-11,0.78403,
1979-12,0.77502,
1980-01,0.77601,
1980-02,0.78227,
1980-03,0.81365,
1980-04,0.78748,
1980-05,0.77688,
1980-06,0.77306,
1980-07,0.77339,
1980-08,0.77678,
1980-09,0.77881,
1980-10,0.78760,
1980-11,0.79970,
1980-12,0.80108,
1981-01,0.81689,
1981-02,0.83225,
1981-03,0.83462,
1981-04,0.84721,
1981-05,0.87458,
1981-06,0.88597,
1981-07,0.90736,
1981-08,0.90469,
1981-09,0.89058,
1981-10,0.89384,
1981-11,0.87006,
1981-12,0.87946,
1982-01,0.89433,
1982-02,0.90454,
1982-03,0.91764,
1982-04,0.90801,
1982-05,0.90890,
1982-06,0.93855,
1982-07,0.93516,
1982-08,0.93487,
1982-09,0.95228,
1982-10,0.95901,
1982-11,0.94656,
1982-12,0.92468,
1983-01,1.17051,comment
1983-02,1.16696,
1983-03,1.18295,
1983-04,1.17840,
1983-05,1.18107,
1983-06,1.19162,
1983-07,1.22981,comment
1983-08,1.34788,
1983-09,1.34077,
1983-10,1.33839,
1983-11,1.42771,
1983-12,1.50327,
1984-01,1.58893,
1984-02,1.58718,
1984-03,1.60409,
1984-04,1.67044,
1984-05,1.71682,
1984-06,1.77912,
1984-07,1.87096,
1984-08,1.86344,
1984-09,1.97193,
1984-10,2.05673,
1984-11,2.11674,
1984-12,2.21683,
1985-01,2.32327,
1985-02,2.44356,
1985-03,2.32780,
1985-04,2.38683,
1985-05,2.39435,
1985-06,2.38264,
1985-07,2.22597,
1985-08,2.23489,
1985-09,2.20990,
1985-10,6.96500,comment
1985-11,5.77100,
1985-12,5.67150,
1986-01,6.36800,
1986-02,6.74610,
1986-03,6.81575,
1986-04,6.94510,
1986-05,7.19385,
1986-06,7.47245,
1986-07,6.04960,
1986-08,6.22870,
1986-09,7.05455,
1986-10,10.26840,
1986-11,14.60660,
1986-12,12.64645,
1987-01,14.84540,
