"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.AT.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.AT.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Austria,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:18,
2009-09,12134,
2009-10,12152,
2009-11,12101,
2009-12,12104,
2010-01,11449,
2010-02,11454,
2010-03,11485,
2010-04,11622,
2010-05,11832,
2010-06,12053,
2010-07,12052,
2010-08,12483,
2010-09,12456,
2010-10,12520,
2010-11,12503,
2010-12,12393,
2011-01,11952,
2011-02,12089,
2011-03,11756,
2011-04,11598,
2011-05,11798,
2011-06,11744,
2011-07,12387,
2011-08,12650,
2011-09,13032,
2011-10,13281,
2011-11,13005,
2011-12,13617,
2012-01,14044,
2012-02,14900,
2012-03,15090,
2012-04,15470,
2012-05,16225,
2012-06,16557,
2012-07,16643,
2012-08,16657,
2012-09,16772,
2012-10,16807,
2012-11,16960,
2012-12,17104,
2013-01,16779,
2013-02,16739,
2013-03,16851,
2013-04,17628,
2013-05,17448,
2013-06,16778,
2013-07,16955,
2013-08,16554,
2013-09,16628,
2013-10,16897,
2013-11,17328,
2013-12,17223,
2014-01,17720,
2014-02,17385,
2014-03,17708,
2014-04,17762,
2014-05,18431,
2014-06,18578,
2014-07,18484,
2014-08,18979,
2014-09,18761,
2014-10,18251,
2014-11,18747,
