"",BBK01.OEAN07P,BBK01.OEAN07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:09,
2002-01,0.127,
2002-04,0.128,
2002-07,0.129,
2002-10,0.128,
2003-01,0.116,
2003-04,0.116,
2003-07,0.111,
2003-10,0.110,
2004-01,0.101,
2004-04,0.099,
2004-07,0.099,
2004-10,0.103,
2005-01,0.097,
2005-04,0.097,
2005-07,0.097,
2005-10,0.094,
2006-01,0.084,
2006-04,0.087,
2006-07,0.083,
2006-10,0.085,
2007-01,0.070,
2007-04,0.073,
2007-07,0.072,
2007-10,0.071,
2008-01,0.062,
2008-04,0.062,
2008-07,0.058,
2008-10,0.060,
2009-01,0.049,
2009-04,0.050,
2009-07,0.051,
2009-10,0.052,
2010-01,0.045,
2010-04,0.043,
2010-07,0.045,
2010-10,0.045,
2011-01,0.037,
2011-04,0.039,
2011-07,0.037,
2011-10,0.041,
2012-01,0.041,
2012-04,0.051,
2012-07,0.060,
2012-10,0.070,
2013-01,0.072,
2013-04,0.076,
2013-07,0.077,
2013-10,0.082,
2014-01,0.080,
2014-04,0.083,
2014-07,0.085,
