"",BBK01.OEAF36O,BBK01.OEAF36O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:06,
2002-01,3.781,
2002-04,3.738,
2002-07,3.745,
2002-10,3.723,
2003-01,3.678,
2003-04,3.662,
2003-07,3.099,
2003-10,3.160,
2004-01,3.222,
2004-04,3.175,
2004-07,3.347,
2004-10,3.573,
2005-01,3.602,
2005-04,3.628,
2005-07,4.196,
2005-10,4.110,
2006-01,4.092,
2006-04,4.109,
2006-07,4.102,
2006-10,4.261,
2007-01,4.252,
2007-04,4.278,
2007-07,4.284,
2007-10,4.257,
2008-01,4.211,
2008-04,4.163,
2008-07,4.293,
2008-10,4.313,
2009-01,4.345,
2009-04,4.378,
2009-07,4.433,
2009-10,4.392,
2010-01,4.259,
2010-04,4.427,
2010-07,4.950,
2010-10,4.988,
2011-01,4.999,
2011-04,4.717,
2011-07,4.706,
2011-10,4.688,
2012-01,4.715,
2012-04,4.801,
2012-07,4.816,
2012-10,4.697,
2013-01,4.730,
2013-04,4.873,
2013-07,4.927,
2013-10,4.895,
2014-01,4.909,
2014-04,4.968,
2014-07,5.009,
