"",BBFB1.Q.N.DE.NL.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:55,
1999-01,428.513,
1999-04,481.261,
1999-07,684.155,
1999-10,525.910,
2000-01,537.241,
2000-04,540.101,
2000-07,708.061,
2000-10,612.203,
2001-01,561.587,
2001-04,554.103,
2001-07,732.893,
2001-10,633.819,
2002-01,542.428,
2002-04,552.330,
2002-07,754.572,
2002-10,653.563,
2003-01,557.943,
2003-04,601.167,
2003-07,749.029,
2003-10,617.354,
2004-01,569.434,
2004-04,628.020,
2004-07,781.458,
2004-10,636.941,
2005-01,607.143,
2005-04,677.270,
2005-07,818.043,
2005-10,681.586,
2006-01,639.544,
2006-04,809.117,
2006-07,941.544,
2006-10,729.757,
2007-01,705.010,
2007-04,792.967,
2007-07,971.251,
2007-10,785.213,
2008-01,716.838,
2008-04,830.145,
2008-07,1008.706,
2008-10,828.489,
2009-01,719.053,
2009-04,822.072,
2009-07,986.325,
2009-10,783.630,
2010-01,687.992,
2010-04,833.774,
2010-07,1011.115,
2010-10,808.486,
2011-01,732.654,
2011-04,839.601,
2011-07,1024.983,
2011-10,800.175,
2012-01,746.836,
2012-04,853.147,
2012-07,1060.520,
2012-10,806.019,
2013-01,769.926,
2013-04,870.551,
2013-07,1079.919,
2013-10,844.549,
2014-01,771.137,Provisional value
2014-04,904.729,Provisional value
2014-07,1111.550,Provisional value
2014-10,866.447,Provisional value
