"",BBK01.XU8837,BBK01.XU8837_FLAGS
"",Germany / Imports / Product Classification for Production Statistics from 2002 / Chemical products / 1 /,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:38:52,
1995-01,2329225,
1995-02,2450101,
1995-03,3112172,
1995-04,2547308,
1995-05,2699578,
1995-06,2791022,
1995-07,2764354,
1995-08,2363062,
1995-09,2647605,
1995-10,2732516,
1995-11,2624849,
1995-12,2551127,
1996-01,2557544,
1996-02,2506881,
1996-03,2711544,
1996-04,2642752,
1996-05,2667000,
1996-06,2633454,
1996-07,2688404,
1996-08,2518725,
1996-09,2616656,
1996-10,2803178,
1996-11,2586712,
1996-12,2628687,
1997-01,2594169,
1997-02,2649122,
1997-03,2892009,
1997-04,2803839,
1997-05,3054121,
1997-06,3114716,
1997-07,3236344,
1997-08,2907045,
1997-09,2882898,
1997-10,3089489,
1997-11,3254953,
1997-12,2709989,
1998-01,3341991,
1998-02,3053650,
1998-03,3687457,
1998-04,3684508,
1998-05,3658668,
1998-06,4010118,
1998-07,3954589,
1998-08,3289134,
1998-09,3103084,
1998-10,3230767,
1998-11,3018264,
1998-12,3193027,
1999-01,2658129,
1999-02,3568069,
1999-03,3932702,
1999-04,3344734,
1999-05,3496540,
1999-06,3412553,
1999-07,4311206,
1999-08,4677976,
1999-09,3712788,
1999-10,3809487,
1999-11,3781339,
1999-12,3855908,
2000-01,3723114,
2000-02,3628619,
2000-03,4339890,
2000-04,3825155,
2000-05,4488678,
2000-06,4038483,
2000-07,3857434,
2000-08,5649806,
2000-09,4276493,
2000-10,4825476,
2000-11,4767573,
2000-12,5206156,
2001-01,4082688,
2001-02,4983073,
2001-03,4628864,
2001-04,5128509,
2001-05,5059317,
2001-06,5261952,
2001-07,5427558,
2001-08,5007073,
2001-09,5048065,
2001-10,5251603,
2001-11,5139133,
2001-12,3514275,
2002-01,4255267,
2002-02,4932680,
2002-03,4374434,
2002-04,5278140,
2002-05,4452295,
2002-06,5118175,
2002-07,4726233,
2002-08,5223439,
2002-09,5047766,
2002-10,4939395,
2002-11,4753313,
2002-12,4794373,
2003-01,4459594,
2003-02,4775381,
2003-03,4974792,
2003-04,5024600,
2003-05,5189663,
2003-06,5073312,
2003-07,5105117,
2003-08,4450506,
2003-09,5228250,
2003-10,4912879,
2003-11,5165051,
2003-12,4460717,
2004-01,4967876,
2004-02,5336531,
2004-03,5390960,
2004-04,5348286,
2004-05,5466098,
2004-06,5720025,
2004-07,5645218,
2004-08,5378944,
2004-09,5616251,
2004-10,6215364,
2004-11,6092488,
2004-12,5285478,
2005-01,5469508,
2005-02,5719014,
2005-03,5766162,
2005-04,6258765,
2005-05,6190958,
2005-06,6148223,
2005-07,6665432,
2005-08,5879950,
2005-09,6147986,
2005-10,6584248,
2005-11,6348556,
2005-12,6118371,
2006-01,6543760,
2006-02,6700959,
2006-03,7200392,
2006-04,6588708,
2006-05,7027263,
2006-06,7197249,
2006-07,6899172,
2006-08,6791227,
2006-09,7143230,
2006-10,7641053,
2006-11,7207612,
2006-12,6884061,
2007-01,7247035,
2007-02,7613239,
2007-03,7973681,
2007-04,7684954,
2007-05,7568168,
2007-06,8250748,
2007-07,7916872,
2007-08,8163515,
2007-09,7499859,
2007-10,8181118,
2007-11,8062241,
2007-12,6853964,
"",General: 1 Source: Federal Statistical Office.,
