"",BBK01.OEAH24O,BBK01.OEAH24O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:56,
2002-01,3.207,
2002-04,3.294,
2002-07,3.410,
2002-10,3.808,
2003-01,3.708,
2003-04,3.669,
2003-07,3.637,
2003-10,3.664,
2004-01,3.752,
2004-04,3.858,
2004-07,4.024,
2004-10,4.068,
2005-01,4.057,
2005-04,4.023,
2005-07,3.965,
2005-10,3.909,
2006-01,3.884,
2006-04,3.830,
2006-07,3.837,
2006-10,3.837,
2007-01,3.761,
2007-04,3.684,
2007-07,3.588,
2007-10,3.472,
2008-01,3.380,
2008-04,3.294,
2008-07,3.305,
2008-10,2.801,
2009-01,3.425,
2009-04,3.573,
2009-07,3.855,
2009-10,4.218,
2010-01,4.566,
2010-04,4.650,
2010-07,4.689,
2010-10,4.737,
2011-01,4.899,
2011-04,5.135,
2011-07,5.239,
2011-10,5.218,
2012-01,5.139,
2012-04,5.142,
2012-07,5.067,
2012-10,5.031,
2013-01,4.997,
2013-04,4.970,
2013-07,4.856,
2013-10,4.765,
2014-01,4.668,
2014-04,4.560,
2014-07,4.399,
