"",BBK01.OEBI07L,BBK01.OEBI07L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:54,
2002-01,4.678,
2002-04,4.159,
2002-07,5.123,
2002-10,6.045,
2003-01,6.505,
2003-04,6.503,
2003-07,6.648,
2003-10,6.625,
2004-01,6.558,
2004-04,6.490,
2004-07,6.775,
2004-10,6.841,
2005-01,9.857,
2005-04,9.858,
2005-07,9.684,
2005-10,9.696,
2006-01,9.680,
2006-04,9.705,
2006-07,9.750,
2006-10,9.764,
2007-01,10.078,
2007-04,9.834,
2007-07,9.088,
2007-10,8.643,
2008-01,8.306,
2008-04,8.382,
2008-07,8.330,
2008-10,9.052,
2009-01,9.629,
2009-04,10.370,
2009-07,11.981,
2009-10,12.848,
2010-01,13.628,
2010-04,10.918,
2010-07,10.989,
2010-10,11.533,
2011-01,11.939,
2011-04,9.930,
2011-07,9.866,
2011-10,9.698,
2012-01,10.140,
2012-04,10.081,
2012-07,9.940,
2012-10,9.803,
2013-01,9.489,
2013-04,9.382,
2013-07,9.362,
2013-10,9.455,
2014-01,9.392,
2014-04,9.336,
2014-07,9.754,
