"",BBK01.OEAE10I,BBK01.OEAE10I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:21,
2002-01,9.959,
2002-04,8.944,
2002-07,8.763,
2002-10,8.708,
2003-01,8.150,
2003-04,8.274,
2003-07,8.281,
2003-10,7.524,
2004-01,7.140,
2004-04,7.294,
2004-07,7.582,
2004-10,6.968,
2005-01,6.909,
2005-04,6.887,
2005-07,7.067,
2005-10,6.322,
2006-01,5.989,
2006-04,5.874,
2006-07,6.041,
2006-10,6.069,
2007-01,5.422,
2007-04,5.423,
2007-07,5.095,
2007-10,5.019,
2008-01,4.681,
2008-04,4.543,
2008-07,4.797,
2008-10,4.103,
2009-01,3.527,
2009-04,3.776,
2009-07,3.768,
2009-10,3.493,
2010-01,3.174,
2010-04,3.297,
2010-07,3.193,
2010-10,3.033,
2011-01,3.040,
2011-04,3.020,
2011-07,2.762,
2011-10,2.694,
2012-01,2.701,
2012-04,2.772,
2012-07,2.719,
2012-10,2.561,
2013-01,2.468,
2013-04,2.484,
2013-07,2.393,
2013-10,2.432,
2014-01,2.586,
2014-04,3.017,
2014-07,2.770,
