"",BBK01.CEB40N,BBK01.CEB40N_FLAGS
"",Loans debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:48,
1991-01,108.1,
1991-04,114.3,
1991-07,116.2,
1991-10,117.0,
1992-01,114.3,
1992-04,117.3,
1992-07,122.9,
1992-10,126.4,
1993-01,131.5,
1993-04,131.7,
1993-07,133.2,
1993-10,132.9,
1994-01,135.3,
1994-04,136.8,
1994-07,137.2,
1994-10,137.7,
1995-01,143.4,
1995-04,145.7,
1995-07,147.6,
1995-10,146.3,
1996-01,147.9,
1996-04,149.6,
1996-07,151.9,
1996-10,158.2,
1997-01,163.4,
1997-04,168.5,
1997-07,165.9,
1997-10,169.8,
1998-01,183.0,
1998-04,188.0,
1998-07,185.9,
1998-10,190.5,
1999-01,203.2,
1999-04,226.3,
1999-07,228.1,
1999-10,255.7,
2000-01,287.8,
2000-04,313.8,
2000-07,355.3,
2000-10,394.3,
2001-01,412.9,
2001-04,428.6,
2001-07,453.0,
2001-10,449.0,
2002-01,454.1,
2002-04,476.2,
2002-07,482.9,
2002-10,486.7,
2003-01,501.3,
2003-04,521.7,
2003-07,530.4,
2003-10,502.8,
2004-01,485.0,
2004-04,488.1,
2004-07,483.0,
2004-10,465.8,
2005-01,462.9,
2005-04,465.2,
2005-07,473.2,
2005-10,488.4,
2006-01,512.6,
2006-04,541.3,
2006-07,550.3,
2006-10,553.7,
2007-01,571.4,
2007-04,597.4,
2007-07,603.0,
2007-10,562.6,
2008-01,592.4,
2008-04,615.8,
2008-07,607.6,
2008-10,626.3,
2009-01,635.8,
2009-04,639.9,
2009-07,641.4,
2009-10,672.8,
2010-01,658.1,
2010-04,681.6,
2010-07,716.2,
2010-10,822.2,
2011-01,811.9,
2011-04,838.5,
2011-07,891.4,
2011-10,902.3,
2012-01,909.7,
2012-04,953.0,
2012-07,919.0,
2012-10,919.9,
2013-01,948.0,
2013-04,1003.9,
2013-07,891.2,
2013-10,868.3,
2014-01,872.4,
