"",BBSF2.M.1.S.00000.GEF01.I.F.SVB.Z5.00000.F33200.Z01.M1,BBSF2.M.1.S.00000.GEF01.I.F.SVB.Z5.00000.F33200.Z01.M1_FLAGS
"",Special investors funds / Mixed funds / Long-term debt securities,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:04,
2004-01,138,
2004-02,143,
2004-03,149,
2004-04,196,
2004-05,204,
2004-06,205,
2004-07,157,
2004-08,208,
2004-09,235,
2004-10,243,
2004-11,278,
2004-12,559,
2005-01,913,
2005-02,2618,
2005-03,5533,
2005-04,5989,
2005-05,6689,
2005-06,6926,
2005-07,7992,
2005-08,9196,
2005-09,11670,
2005-10,14099,
2005-11,17563,
2005-12,22219,
2006-01,27615,
2006-02,28181,
2006-03,28580,
2006-04,29361,
2006-05,32107,
2006-06,34270,
2006-07,35169,
2006-08,37142,
2006-09,38012,
2006-10,37648,
2006-11,38199,
2006-12,37449,
2007-01,39963,
2007-02,40566,
2007-03,40120,
2007-04,37012,
2007-05,38317,
2007-06,39429,
2007-07,39693,
2007-08,39977,
2007-09,39690,
2007-10,41354,
2007-11,41747,
2007-12,36283,
2008-01,37216,
2008-02,36895,
2008-03,35925,
2008-04,35728,
2008-05,36735,
2008-06,36243,
2008-07,44505,
2008-08,45388,
2008-09,44430,
2008-10,42419,
2008-11,43720,
2008-12,44031,
2009-01,44202,
2009-02,44723,
2009-03,45986,
2009-04,57595,
2009-05,71230,
2009-06,72673,
2009-07,75470,
2009-08,78229,
2009-09,89897,
2009-10,89918,
2009-11,91625,
2009-12,92921,
2010-01,93933,
2010-02,94612,
2010-03,97218,
2010-04,100150,
2010-05,102222,
2010-06,101799,
2010-07,102673,
2010-08,105649,
2010-09,106380,
2010-10,105486,
2010-11,104397,
2010-12,97728,
2011-01,96934,
2011-02,97929,
2011-03,97736,
2011-04,99281,
2011-05,100924,
2011-06,100053,
2011-07,102420,
2011-08,102689,
2011-09,102518,
2011-10,102666,
2011-11,102039,
2011-12,104799,
2012-01,107368,
2012-02,109653,
2012-03,110625,
2012-04,111546,
2012-05,112958,
2012-06,114440,
2012-07,117278,
2012-08,117335,
2012-09,117934,
2012-10,118460,
2012-11,118795,
2012-12,118883,
2013-01,116992,
2013-02,119243,
2013-03,119108,
2013-04,120480,
2013-05,119869,
2013-06,118154,
2013-07,119405,
2013-08,119443,
2013-09,120471,
2013-10,119943,
2013-11,122349,
2013-12,122207,
2014-01,124591,
2014-02,122926,
2014-03,124262,
2014-04,124732,
2014-05,126794,
2014-06,128213,
2014-07,127452,
2014-08,118543,
2014-09,120917,
2014-10,127235,
2014-11,130340,
