"",BBK01.OEYB09P,BBK01.OEYB09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:56,
2002-01,1.848,
2002-04,1.876,
2002-07,1.927,
2002-10,2.048,
2003-01,2.108,
2003-04,2.098,
2003-07,1.995,
2003-10,2.009,
2004-01,1.955,
2004-04,2.052,
2004-07,2.158,
2004-10,2.165,
2005-01,2.273,
2005-04,2.317,
2005-07,2.194,
2005-10,2.189,
2006-01,2.239,
2006-04,2.174,
2006-07,2.190,
2006-10,2.066,
2007-01,2.034,
2007-04,2.038,
2007-07,2.046,
2007-10,2.154,
2008-01,2.219,
2008-04,2.299,
2008-07,2.363,
2008-10,2.414,
2009-01,2.358,
2009-04,2.365,
2009-07,2.400,
2009-10,2.394,
2010-01,2.455,
2010-04,2.478,
2010-07,2.458,
2010-10,2.444,
2011-01,2.459,
2011-04,2.554,
2011-07,2.759,
2011-10,2.603,
2012-01,2.916,
2012-04,2.844,
2012-07,2.827,
2012-10,2.857,
2013-01,2.752,
2013-04,2.752,
2013-07,2.806,
2013-10,2.841,
2014-01,2.786,
2014-04,2.932,
2014-07,2.971,
