"",BBK01.OEAH10T,BBK01.OEAH10T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:43,
2002-01,1.836,
2002-04,1.894,
2002-07,1.907,
2002-10,1.903,
2003-01,1.902,
2003-04,1.894,
2003-07,1.854,
2003-10,1.853,
2004-01,1.850,
2004-04,1.893,
2004-07,1.864,
2004-10,1.862,
2005-01,1.818,
2005-04,1.827,
2005-07,1.772,
2005-10,1.776,
2006-01,1.752,
2006-04,1.730,
2006-07,1.705,
2006-10,1.647,
2007-01,1.602,
2007-04,1.564,
2007-07,1.522,
2007-10,1.492,
2008-01,1.423,
2008-04,1.403,
2008-07,1.351,
2008-10,1.309,
2009-01,1.308,
2009-04,1.298,
2009-07,1.334,
2009-10,1.390,
2010-01,1.400,
2010-04,1.377,
2010-07,1.363,
2010-10,1.348,
2011-01,1.354,
2011-04,1.381,
2011-07,1.386,
2011-10,1.408,
2012-01,1.421,
2012-04,1.422,
2012-07,1.390,
2012-10,1.337,
2013-01,1.210,
2013-04,1.156,
2013-07,1.124,
2013-10,1.122,
2014-01,1.088,
2014-04,1.035,
2014-07,1.028,
