"",BBK01.OEBL07R,BBK01.OEBL07R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:55,
2002-01,0.869,
2002-04,0.776,
2002-07,0.789,
2002-10,0.812,
2003-01,0.799,
2003-04,0.763,
2003-07,0.761,
2003-10,0.752,
2004-01,0.724,
2004-04,0.695,
2004-07,0.703,
2004-10,0.715,
2005-01,1.298,
2005-04,1.290,
2005-07,1.269,
2005-10,1.285,
2006-01,1.292,
2006-04,1.277,
2006-07,1.271,
2006-10,1.287,
2007-01,1.382,
2007-04,1.395,
2007-07,1.422,
2007-10,1.498,
2008-01,1.542,
2008-04,1.583,
2008-07,1.598,
2008-10,1.721,
2009-01,1.716,
2009-04,1.701,
2009-07,1.741,
2009-10,1.712,
2010-01,1.669,
2010-04,1.647,
2010-07,1.637,
2010-10,1.699,
2011-01,1.757,
2011-04,1.754,
2011-07,1.741,
2011-10,1.756,
2012-01,1.796,
2012-04,1.777,
2012-07,1.766,
2012-10,1.755,
2013-01,1.698,
2013-04,1.648,
2013-07,1.633,
2013-10,1.634,
2014-01,1.616,
2014-04,1.588,
2014-07,1.649,
