"",BBSF2.M.1.S.00000.TOT01.I.F.WPS.DK.00000.000000.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.WPS.DK.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds total / Securities total / Denmark,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:37,
2009-09,4857,
2009-10,5116,
2009-11,5556,
2009-12,5857,
2010-01,5575,
2010-02,5530,
2010-03,5545,
2010-04,5806,
2010-05,5839,
2010-06,6095,
2010-07,6179,
2010-08,6393,
2010-09,6559,
2010-10,6791,
2010-11,6673,
2010-12,6859,
2011-01,6572,
2011-02,6814,
2011-03,6950,
2011-04,6984,
2011-05,7289,
2011-06,7457,
2011-07,7670,
2011-08,7543,
2011-09,7448,
2011-10,7497,
2011-11,7378,
2011-12,7487,
2012-01,7514,
2012-02,7727,
2012-03,7776,
2012-04,7816,
2012-05,7994,
2012-06,8059,
2012-07,8352,
2012-08,8475,
2012-09,8620,
2012-10,8609,
2012-11,8676,
2012-12,8837,
2013-01,8561,
2013-02,8931,
2013-03,9060,
2013-04,9170,
2013-05,9329,
2013-06,9013,
2013-07,9142,
2013-08,9201,
2013-09,9597,
2013-10,9583,
2013-11,9577,
2013-12,9644,
2014-01,9663,
2014-02,9892,
2014-03,10135,
2014-04,10175,
2014-05,10541,
2014-06,11317,
2014-07,11250,
2014-08,11299,
2014-09,11471,
2014-10,11710,
2014-11,11926,
