"",BBK01.OEHL04L,BBK01.OEHL04L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:49,
2002-01,1.865,
2002-04,1.851,
2002-07,1.893,
2002-10,1.888,
2003-01,1.796,
2003-04,1.712,
2003-07,1.571,
2003-10,1.385,
2004-01,1.304,
2004-04,1.228,
2004-07,1.134,
2004-10,1.084,
2005-01,1.061,
2005-04,1.050,
2005-07,1.054,
2005-10,1.138,
2006-01,1.239,
2006-04,1.391,
2006-07,1.571,
2006-10,1.707,
2007-01,2.145,
2007-04,2.257,
2007-07,2.404,
2007-10,2.773,
2008-01,3.258,
2008-04,3.510,
2008-07,4.033,
2008-10,4.091,
2009-01,2.957,
2009-04,2.354,
2009-07,1.765,
2009-10,1.414,
2010-01,1.303,
2010-04,1.165,
2010-07,1.073,
2010-10,0.890,
2011-01,0.906,
2011-04,0.942,
2011-07,1.001,
2011-10,0.991,
2012-01,0.947,
2012-04,0.901,
2012-07,0.795,
2012-10,0.671,
2013-01,0.594,
2013-04,0.544,
2013-07,0.527,
2013-10,0.449,
2014-01,0.437,
2014-04,0.418,
2014-07,0.406,
