"",BBK01.OEXO06T,BBK01.OEXO06T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:48,
2002-01,0.704,
2002-04,0.679,
2002-07,0.690,
2002-10,0.697,
2003-01,0.702,
2003-04,0.676,
2003-07,0.661,
2003-10,0.665,
2004-01,0.648,
2004-04,0.631,
2004-07,0.607,
2004-10,0.495,
2005-01,0.509,
2005-04,0.503,
2005-07,0.467,
2005-10,0.478,
2006-01,0.486,
2006-04,0.482,
2006-07,0.469,
2006-10,0.502,
2007-01,0.586,
2007-04,0.608,
2007-07,0.636,
2007-10,0.701,
2008-01,0.733,
2008-04,0.742,
2008-07,0.759,
2008-10,0.894,
2009-01,0.879,
2009-04,0.843,
2009-07,0.838,
2009-10,0.775,
2010-01,0.712,
2010-04,0.690,
2010-07,0.683,
2010-10,0.758,
2011-01,0.814,
2011-04,0.814,
2011-07,0.812,
2011-10,0.803,
2012-01,0.774,
2012-04,0.768,
2012-07,0.752,
2012-10,0.704,
2013-01,0.651,
2013-04,0.614,
2013-07,0.605,
2013-10,0.597,
2014-01,0.579,
2014-04,0.569,
2014-07,0.602,
