"",BBK01.OECL04T,BBK01.OECL04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:43,
2002-01,0.058,
2002-04,0.058,
2002-07,0.051,
2002-10,0.046,
2003-01,0.030,
2003-04,0.030,
2003-07,0.028,
2003-10,0.031,
2004-01,0.035,
2004-04,0.029,
2004-07,0.023,
2004-10,0.033,
2005-01,0.083,
2005-04,0.084,
2005-07,0.078,
2005-10,0.075,
2006-01,0.082,
2006-04,0.084,
2006-07,0.131,
2006-10,0.167,
2007-01,0.179,
2007-04,0.185,
2007-07,0.202,
2007-10,0.215,
2008-01,0.254,
2008-04,0.273,
2008-07,0.358,
2008-10,0.358,
2009-01,0.335,
2009-04,0.305,
2009-07,0.245,
2009-10,0.205,
2010-01,0.145,
2010-04,0.123,
2010-07,0.102,
2010-10,0.084,
2011-01,0.095,
2011-04,0.078,
2011-07,0.061,
2011-10,0.112,
2012-01,0.124,
2012-04,0.121,
2012-07,0.143,
2012-10,0.105,
2013-01,0.084,
2013-04,0.084,
2013-07,0.069,
2013-10,0.074,
2014-01,0.076,
2014-04,0.173,
2014-07,0.102,
