"",BBK01.OEHJ06O,BBK01.OEHJ06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:46,
2002-01,1.071,
2002-04,1.066,
2002-07,1.030,
2002-10,1.020,
2003-01,1.028,
2003-04,1.004,
2003-07,0.980,
2003-10,0.982,
2004-01,0.979,
2004-04,0.987,
2004-07,1.026,
2004-10,1.016,
2005-01,1.031,
2005-04,1.032,
2005-07,1.052,
2005-10,1.031,
2006-01,1.038,
2006-04,1.017,
2006-07,1.050,
2006-10,1.082,
2007-01,1.105,
2007-04,1.106,
2007-07,1.104,
2007-10,1.068,
2008-01,1.077,
2008-04,1.087,
2008-07,1.099,
2008-10,1.104,
2009-01,1.104,
2009-04,1.151,
2009-07,1.156,
2009-10,1.244,
2010-01,1.264,
2010-04,1.196,
2010-07,1.201,
2010-10,1.253,
2011-01,1.249,
2011-04,1.360,
2011-07,1.394,
2011-10,1.385,
2012-01,1.339,
2012-04,1.327,
2012-07,1.317,
2012-10,1.297,
2013-01,1.297,
2013-04,1.279,
2013-07,1.290,
2013-10,1.250,
2014-01,1.309,
2014-04,1.258,
2014-07,1.250,
