"",BBFB1.Q.N.DE.B2.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:31,
1991-01,10364.217,
1991-04,10857.283,
1991-07,10853.478,
1991-10,10798.367,
1992-01,10479.648,
1992-04,10818.144,
1992-07,11192.415,
1992-10,10848.008,
1993-01,11375.388,
1993-04,11222.160,
1993-07,10622.535,
1993-10,11000.744,
1994-01,10073.361,
1994-04,9678.238,
1994-07,10042.304,
1994-10,11700.833,
1995-01,9865.182,
1995-04,9987.883,
1995-07,9519.011,
1995-10,12211.559,
1996-01,9951.880,
1996-04,9668.572,
1996-07,9900.269,
1996-10,13183.336,
1997-01,10838.969,
1997-04,11533.179,
1997-07,11071.578,
1997-10,15390.403,
1998-01,11084.807,
1998-04,11704.722,
1998-07,11156.767,
1998-10,14557.818,
1999-01,12296.309,
1999-04,14224.050,
1999-07,13468.748,
1999-10,18470.519,
2000-01,15425.195,
2000-04,17863.267,
2000-07,16529.135,
2000-10,25043.174,
2001-01,18012.224,
2001-04,18275.803,
2001-07,16447.332,
2001-10,19488.984,
2002-01,17222.155,
2002-04,17536.305,
2002-07,17152.927,
2002-10,20122.953,
2003-01,17767.549,
2003-04,18270.161,
2003-07,17962.542,
2003-10,22449.951,
2004-01,20526.421,
2004-04,22227.965,
2004-07,21740.054,
2004-10,26644.298,
2005-01,24217.117,
2005-04,25948.072,
2005-07,25471.680,
2005-10,30568.072,
2006-01,29615.308,
2006-04,33837.722,
2006-07,33410.862,
2006-10,41499.150,
2007-01,40996.257,
2007-04,43281.498,
2007-07,39999.357,
2007-10,44927.562,
2008-01,35481.380,
2008-04,35563.514,
2008-07,31283.773,
2008-10,34137.464,
2009-01,30831.924,
2009-04,31219.567,
2009-07,29657.209,
2009-10,35853.025,
2010-01,30351.634,
2010-04,32845.434,
2010-07,31760.717,
2010-10,39956.544,
2011-01,34933.868,
2011-04,37803.775,
2011-07,35924.969,
2011-10,41706.947,
2012-01,34896.624,
2012-04,35986.841,
2012-07,34509.874,
2012-10,40057.982,
2013-01,33544.975,
2013-04,34526.701,
2013-07,32426.653,
2013-10,39173.166,
2014-01,31621.028,Provisional value
2014-04,33876.409,Provisional value
2014-07,31776.609,Provisional value
