"",BBK01.OELL03J,BBK01.OELL03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:53,
2002-01,0.128,
2002-04,0.116,
2002-07,0.114,
2002-10,0.131,
2003-01,0.120,
2003-04,0.110,
2003-07,0.122,
2003-10,0.127,
2004-01,0.119,
2004-04,0.110,
2004-07,0.110,
2004-10,0.123,
2005-01,0.155,
2005-04,0.158,
2005-07,0.161,
2005-10,0.163,
2006-01,0.194,
2006-04,0.194,
2006-07,0.184,
2006-10,0.174,
2007-01,0.173,
2007-04,0.191,
2007-07,0.185,
2007-10,0.180,
2008-01,0.167,
2008-04,0.185,
2008-07,0.135,
2008-10,0.173,
2009-01,0.146,
2009-04,0.130,
2009-07,0.101,
2009-10,0.099,
2010-01,0.087,
2010-04,0.082,
2010-07,0.078,
2010-10,0.079,
2011-01,0.081,
2011-04,0.085,
2011-07,0.094,
2011-10,0.095,
2012-01,0.084,
2012-04,0.085,
2012-07,0.080,
2012-10,0.077,
2013-01,0.073,
2013-04,0.073,
2013-07,0.070,
2013-10,0.068,
2014-01,0.066,
2014-04,0.063,
2014-07,0.062,
